QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Engineering - Electrical & Electronic,,,,,,,,,
,,,,Institutions Considered,,1709,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 530 Universities - Engineering - Electrical & Electronic,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
65,61=,Chalmers University of Technology,Sweden,73.6,67.3,90.2,81.6,77.6,75
=66,58=,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,69.6,74.2,85.1,79,86.4,74.9
=66,63  ,University of Washington,United States,68.8,75.7,95.1,80.2,55.8,74.9
68,66  ,Texas A&M University,United States,69.4,75.9,84.5,80.8,73,74.8
69,70  ,Yale University,United States,71.3,79.9,90.4,70.6,42.4,74.7
=70,126=,City University of Hong Kong,Hong Kong SAR,66.7,69.5,98.1,91.3,65.5,74.5
=70,72=,University of Southampton,United Kingdom,68.9,71.4,91.9,82.2,75.6,74.5
72,50  ,Aalborg University,Denmark,75.1,52.2,96.7,93.8,97.8,74.4
73,78  ,Universidad Politécnica de Madrid (UPM),Spain,67.5,77.9,83.3,75,82.6,74.3
74,118=,The Hong Kong Polytechnic University,Hong Kong SAR,68,70,95.4,88.7,56.7,74
75,80=,Universidade de São Paulo,Brazil,68,79.6,82.1,75.8,61.8,73.9
76,110=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,69.4,74.7,94.9,80.3,33.9,73.8
77,72=,King Abdulaziz University (KAU),Saudi Arabia,64.9,67.1,96.1,87.8,92.7,73.7
=78,77  ,Monash University,Australia,63.7,76.1,94.8,80.2,65.6,73.5
=78,79  ,Universiti Teknologi Malaysia ,Malaysia,67.6,67.2,89.1,87.6,84.3,73.5
=78,71  ,Yonsei University,South Korea,66.7,75.4,87.8,76.9,71.5,73.5
=81,102  ,Fudan University,China (Mainland),67.9,72.2,90.6,82.8,58.7,73.4
=81,90=,Kyoto University,Japan,73,71.7,82.6,72.7,65.9,73.4
=83,80=,Indian Institute of Technology Madras (IITM),India,72,77.1,81.8,71.8,42.4,73.3
=83,94  ,University of Technology Sydney,Australia,64.1,68.2,97.8,89.8,75.2,73.3
