QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
67,81=,University of Southern California,United States,72.8,66.6,83.2,89.9,48.5,73.3
68,63  ,Pontificia Universidad Católica de Chile (UC),Chile,76.9,84.7,71.4,69.5,43.8,73.2
69,71  ,The University of Warwick,United Kingdom,68.4,77.3,82.8,82,55.7,73.1
70,53=,University of Wisconsin-Madison,United States,70.6,66.7,89.4,91.7,42.1,73
71,75  ,University of Bristol,United Kingdom,68.7,71.7,87.4,82.5,56,72.9
=72,69=,Radboud University ,Netherlands,72.3,60.4,80.6,87.2,65.8,72.8
=72,84=,University of Helsinki,Finland,71,61.5,80.3,83.2,75.5,72.8
74,79=,Durham University,United Kingdom,71.1,74.4,84.1,80.4,47.2,72.7
75,89  ,Università di Padova,Italy,67.4,68.9,81.2,85.5,68.9,72.6
76,78  ,Karolinska Institute,Sweden,65.6,67.6,85.1,87.4,68.1,72.4
=77,79=,The University of Tokyo,Japan,75.5,84.9,72.5,68.5,39.2,72.3
=77,97=,"Trinity College Dublin, The University of Dublin",Ireland,69,82.2,77.3,76.8,51.2,72.3
=77,101-150,University of Vienna,Austria,69.6,68.4,82.9,82.5,60.1,72.3
=80,69=,Arizona State University,United States,70.7,59.7,82.9,91.4,57.7,72.1
=80,64=,Cornell University,United States,67.4,74.3,84.3,88.6,43.9,72.1
=82,86  ,Aarhus University,Denmark,69.7,64.6,82.5,83.2,62.6,71.9
=82,59=,Cardiff University,United Kingdom,67.3,67,90.4,86.8,49.9,71.9
=82,101-150,Tsinghua University,China (Mainland),69.5,95.1,79.4,76.4,17.5,71.9
=85,68  ,The Australian National University,Australia,72.5,80.6,80.2,78,29.2,71.8
=85,76  ,The Ohio State University,United States,72.4,57.7,85.4,90.6,48.6,71.8
=85,101-150,Yonsei University,South Korea,79,75,72.4,70.4,37.3,71.8
=88,94  ,Freie Universitaet Berlin,Germany,71,68.1,85.4,82,45.6,71.7
=88,100  ,HSE University,Russia,64.3,81.6,74.3,78,68.1,71.7
=90,101-150,Universidade de São Paulo,Brazil,68.1,82.3,70.2,75.4,59.9,71.5
=90,92  ,Université catholique de Louvain (UCLouvain),Belgium,69,66.3,84.1,82.5,56.5,71.5
92,77  ,"University of California, Irvine",United States,71.4,60.3,86.1,89.7,43.6,71.4
93,87=,University of Glasgow,United Kingdom,65.4,76.4,83.8,80.4,52.2,71.3
94,50=,The University of Western Australia,Australia,68.4,65.9,87.1,86.8,46.2,71.2
95,101-150,Beijing Normal University ,China (Mainland),75.4,62.6,81.7,85.9,32.4,71.1
=96,97=,University of Bath,United Kingdom,62.4,71.2,88.7,84.4,55.9,70.8
=96,81=,University of Virginia,United States,68.7,57.9,87.1,88.2,54.8,70.8
=98,81=,Universidad Autónoma de Madrid,Spain,65.1,77.8,80.2,78.9,52.5,70.7
=98,87=,University of Kent,United Kingdom,65.1,61.1,91.4,88.8,54.1,70.7
=100,101-150,Stockholm University,Sweden,65.9,66,83.1,81.7,63.1,70.6
=100,93  ,The University of Exeter,United Kingdom,67.1,68.3,86.4,84.4,44.4,70.6
=100,101-150,Zhejiang University,China (Mainland),63.5,86.7,79.5,78.3,42.2,70.6
101-150,95=,Brown University,United States,64.2,72.2,81.7,86.2,51.1,
101-150,101-150,Complutense University of Madrid,Spain,62.1,80.6,72.7,72.8,48.6,
101-150,151-200,Curtin University,Australia,58.8,62.3,86,85.9,49,
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,68.3,52.3,82.9,82.5,51.1,
101-150,101-150,Fudan University,China (Mainland),65.1,90,71.1,71.6,41.6,
101-150,95=,Indiana University Bloomington,United States,69.4,53.4,82.8,87.8,51.2,
101-150,90=,Korea University,South Korea,72.2,73.7,76.1,75.8,20.2,
101-150,101-150,Kyoto University,Japan,66.7,73.2,73.4,72.8,34.8,
101-150,101-150,Lancaster University,United Kingdom,64.5,68.9,79.9,76.8,48.8,
101-150,101-150,Loughborough University,United Kingdom,67.3,68.1,79.6,77.7,33.8,
101-150,151-200,Lund University,Sweden,55.8,74.1,78.5,78.3,61.5,
101-150,90=,Macquarie University,Australia,66.7,64.7,81.3,84.6,55.2,
101-150,101-150,National Taiwan University (NTU),Taiwan,68.7,75.2,79.3,75.1,29.8,
101-150,101-150,Nottingham Trent University,United Kingdom,58.2,60.2,86.3,83.5,63.3,
101-150,101-150,Purdue University,United States,63.2,65.3,87,88.9,43.2,
101-150,101-150,Queensland University of Technology (QUT),Australia,63.3,66.7,80.5,80.6,53.1,
101-150,101-150,Renmin (People's) University of China,China (Mainland),62.1,74.1,85.5,80.4,22.8,
101-150,101-150,Ruprecht-Karls-Universität Heidelberg,Germany,64.4,68.1,77.9,82,66.1,
101-150,,Shanghai Jiao Tong University,China (Mainland),62.9,84.6,81.6,78.3,33.6,
101-150,101-150,Sorbonne University,France,68.1,78.4,73.3,72.8,47,
101-150,101-150,The University of Sheffield,United Kingdom,58.5,68.3,84.5,84.4,57.9,
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,70.9,87.2,62.6,63.8,35.4,
101-150,151-200,Universidad de Chile,Chile,68,83.1,64.9,67.6,36.6,
101-150,101-150,Università Cattolica del Sacro Cuore,Italy,63.5,69.5,81.8,83.2,54.5,
101-150,101-150,Universitat Autònoma de Barcelona,Spain,61.8,72.6,80.3,78.6,51,
101-150,151-200,Universität Leipzig,Germany,68,46.3,85.9,83.7,52,
101-150,101-150,Universität Mannheim,Germany,73.3,57.2,82.8,79.5,40.7,
101-150,151-200,Université de Montréal ,Canada,64,65.5,75.2,81.7,42.5,
101-150,101-150,Université PSL,France,62.5,73.2,78.1,78.3,47.6,
101-150,151-200,University of Calgary,Canada,59.1,63.1,82,85.1,53.1,
101-150,101-150,"University of California, Davis",United States,53.7,60.8,88.7,91.6,64.9,
101-150,101-150,"University of California, Santa Barbara (UCSB)",United States,66.3,54.5,86.8,84.8,40.3,
101-150,101-150,University of Copenhagen,Denmark,63,73.4,81.5,82.2,51.9,
101-150,101-150,University of Geneva,Switzerland,63.9,63.3,79.9,80.9,41.1,
101-150,151-200,University of Lausanne,Switzerland,65.9,56.4,80.2,81.2,48.9,
101-150,101-150,University of Leeds,United Kingdom,63.3,74.4,84.3,80.9,42.8,
101-150,101-150,University of Massachusetts Amherst,United States,62.5,60.4,83.1,81.7,56.5,
101-150,101-150,University of Oslo,Norway,66.8,58.2,81.1,87,68.8,
101-150,101-150,University of Otago,New Zealand,64.5,68.6,82.7,80.6,48.6,
101-150,101-150,University of Pittsburgh,United States,63.5,53,83.9,90.7,63.4,
101-150,101-150,University of Southampton,United Kingdom,57.4,70.1,84.4,82.7,53.8,
101-150,101-150,University of St Andrews,United Kingdom,67.2,71.7,74.4,75.8,39.7,
101-150,97=,University of Sussex,United Kingdom,68.5,57.3,84.8,83.7,52.6,
101-150,101-150,University of York,United Kingdom,68.6,65.9,84.4,83.2,46.6,
101-150,101-150,Vanderbilt University,United States,65.7,63.2,86.9,88.8,51.1,
101-150,101-150,Victoria University of Wellington,New Zealand,68.3,68,80.3,76.1,28.9,
101-150,101-150,Washington University in St. Louis,United States,61.3,59.6,81.9,85.9,54.1,
101-150,101-150,Western University,Canada,66.1,61.6,82.7,84.8,44.2,
101-150,101-150,York University,Canada,65.7,57.7,83.2,84.8,35.1,
