QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Nursing,,,,,,,,
Faculty Area,,Life Sciences & Medicine,,Institutions Considered,,735,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.3,,,
,,,,Employer,0.1,,,
,,,,Citations,0.3,,,
,,,,H,0.3,,,
Top 200 Universities - Nursing,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
51-100,51-100,Queen's University Belfast,United Kingdom,65.2,68.9,90.8,82.5,
51-100,51-100,Sapienza University of Rome,Italy,61.8,60,100,82,
51-100,49=,Seoul National University,South Korea,67.5,77.8,88.4,85.7,
51-100,,Sichuan University,China (Mainland),58.9,63.6,90.5,84.4,
51-100,101-150,Sultan Qaboos University,Oman,60,69.6,95.5,87.7,
51-100,51-100,The University of Adelaide,Australia,59.9,77.2,92.3,90.4,
51-100,51-100,The University of Auckland,New Zealand,65.1,79.9,91.2,85.7,
51-100,51-100,The University of Exeter,United Kingdom,61.9,57,92.4,81.5,
51-100,51-100,The University of Sheffield,United Kingdom,62.3,70.4,91.9,82,
51-100,51-100,Ulster University,United Kingdom,72,57.3,87.5,80,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,56.7,51.6,99.8,82.5,
51-100,51-100,Universitat de Barcelona,Spain,60.7,74.9,89.1,83.9,
51-100,51-100,University College Dublin,Ireland,73.3,84.1,88.6,81.1,
51-100,51-100,University of Basel,Switzerland,66.7,62.3,91.6,77.9,
51-100,51-100,University of Birmingham,United Kingdom,66,85.7,88.7,81.5,
51-100,44  ,University of Calgary,Canada,59.9,80.6,89.4,88.5,
51-100,51-100,University of Eastern Finland,Finland,66.2,56.7,93.2,85.2,
51-100,101-150,University of Galway,Ireland,66.4,65.8,85.3,79.5,
51-100,51-100,University of Glasgow,United Kingdom,65.5,73.1,91.7,77.9,
51-100,51-100,University of Illinois at Chicago (UIC),United States,76.6,69.1,85.2,86.1,
51-100,47=,University of Iowa,United States,71.7,81.8,88.4,83.9,
51-100,101-150,University of Jordan,Jordan,63.5,92.6,87.5,77.3,
51-100,101-150,University of Limerick,Ireland,52,76.7,95.4,80,
51-100,51-100,University of Miami,United States,69.4,57.7,88,79.5,
51-100,51-100,University of Minnesota Twin Cities,United States,60.8,63.9,88,88.9,
51-100,51-100,University of Navarra,Spain,57.5,69.9,92.6,82,
51-100,51-100,University of Otago,New Zealand,55.6,70,92.7,83.4,
51-100,51-100,University of Ottawa,Canada,63.7,64.4,88.8,88.9,
51-100,51-100,University of South Australia,Australia,61.5,71.4,94.3,83,
51-100,51-100,University of Surrey,United Kingdom,69.7,63.9,89.4,80,
51-100,51-100,University of Texas at Austin,United States,67.1,80.6,88,83.4,
51-100,51-100,University of Virginia,United States,73.7,51.9,87.1,82.5,
51-100,51-100,University of Wollongong,Australia,63.2,69.6,89.8,83.4,
51-100,51-100,Uppsala University,Sweden,63.7,53,92.4,84.8,
51-100,51-100,Utrecht University,Netherlands,64.1,52,90.5,83.9,
51-100,51-100,Vanderbilt University,United States,68.4,65.1,86.8,88.1,
51-100,51-100,Western University,Canada,57.5,75.9,91,83.9,
51-100,49=,Yonsei University,South Korea,78.4,79.6,84.4,81.1,
101-150,151-180,Ajou University ,South Korea,67,55,87.2,75.6,
101-150,101-150,Alma Mater Studiorum - University of Bologna,Italy,57.6,61.7,91.7,79,
101-150,,Central South University,China (Mainland),67.3,50.6,89.3,79,
101-150,151-180,Chiang Mai University,Thailand,70.2,63.8,83.4,72.4,
101-150,101-150,Edith Cowan University ,Australia,54.8,68.7,89,82,
101-150,101-150,Ewha Womans University,South Korea,61.4,66.2,83.4,76.8,
101-150,,Hacettepe University ,Turkey,59.7,73.6,85.6,77.3,
101-150,101-150,Indiana University Bloomington,United States,62.5,71.6,85.9,80.5,
101-150,151-180,Kaohsiung Medical University,Taiwan,59,68.7,85.2,77.9,
101-150,101-150,King Abdulaziz University (KAU),Saudi Arabia,69,85.7,78.2,71.1,
101-150,101-150,Korea University,South Korea,66.6,73.5,82.7,72.4,
101-150,51-100,Kyung Hee University,South Korea,54.7,68.3,89.7,80.5,
101-150,101-150,Linköping University,Sweden,62.6,52.8,89.7,81.1,
101-150,,London School of Hygiene & Tropical Medicine,United Kingdom,70.5,62,86.1,74.4,
101-150,101-150,Mahidol University,Thailand,72.1,75.7,85.2,68.2,
101-150,101-150,Massey University,New Zealand,52.4,68,91.4,81.5,
101-150,151-180,Michigan State University,United States,57.1,73.1,84.4,77.3,
101-150,51-100,National Taipei University of Nursing and Health Sciences ,Taiwan,60.3,63.1,89.4,80,
101-150,51-100,Oregon Health & Science University (OHSU),United States,68.8,0,90.9,84.8,
101-150,,Shanghai Jiao Tong University,China (Mainland),59.5,72.6,85.2,80.5,
101-150,101-150,Sun Yat-sen University,China (Mainland),57.6,58,93.2,82.5,
101-150,101-150,The University of Arizona,United States,58,49.3,87.3,83.9,
101-150,101-150,The University of Texas Health Science Center at Houston,United States,61.6,55.6,85.1,80,
101-150,101-150,The University of Tokyo,Japan,65.5,79.3,84.7,74.4,
101-150,,Universidad Autónoma de Madrid,Spain,64.9,70.1,87.3,75,
101-150,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,66.3,68.8,84.1,76.8,
101-150,151-180,Universidade Federal do Rio de Janeiro,Brazil,72.8,67.8,77.4,70.4,
101-150,,Universitat Rovira i Virgili,Spain,52,51.9,93.7,81.5,
101-150,101-150,Université de Montréal ,Canada,55.9,66.3,87,82.5,
101-150,151-180,Universiti Malaya (UM),Malaysia,62.3,74.7,82.6,74.4,
101-150,101-150,"University of Alabama, Birmingham",United States,55.5,73.2,86.5,86.1,
101-150,101-150,"University of California, Davis",United States,47.9,71.7,88,83.4,
101-150,101-150,University of Canberra ,Australia,54.6,55.9,91.9,81.5,
101-150,101-150,University of Connecticut,United States,53.9,44.2,91.4,84.8,
101-150,101-150,University of East Anglia (UEA),United Kingdom,56,40.9,94,80,
101-150,151-180,University of Florence,Italy,64.4,52.6,88.7,75.6,
101-150,101-150,University of Florida,United States,55.6,59.1,86.7,85.2,
101-150,51-100,University of Granada,Spain,52.5,51.6,90.8,85.7,
101-150,51-100,University of Liverpool,United Kingdom,58.2,66.1,92.4,76.8,
101-150,101-150,University of Manitoba,Canada,51.1,67.5,89.4,81.5,
101-150,101-150,"University of Maryland, Baltimore",United States,67.3,23.9,85.3,84.4,
101-150,151-180,University of Milan,Italy,54.3,43.3,95.4,85.2,
101-150,151-180,"University of Missouri, Columbia",United States,56.9,78.7,85.9,76.2,
101-150,151-180,University of Rochester,United States,64,61.1,84.4,74.4,
101-150,,"University of Rome ""Tor Vergata""",Italy,56.3,38.6,94.3,84.4,
101-150,101-150,University of Tasmania,Australia,52.7,60.3,91.5,84.8,
101-150,101-150,University of Utah,United States,57.6,72.7,85.7,82,
101-150,51-100,University of Wisconsin-Madison,United States,55.9,68.9,87.4,85.2,
101-150,101-150,University of Zurich,Switzerland,56.9,61.5,87.7,78.4,
151-200,151-180,American University of Beirut (AUB),Lebanon,62.5,91.9,76.5,71.1,
