QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Earth & Marine Sciences,,,,,,,,,
,,,,Institutions Considered,,1254,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 250 Universities - Earth & Marine Sciences,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
101-150,101-150,Sapienza University of Rome,Italy,69.8,80.2,79.9,82.8,63.1,
101-150,151-200,The Hong Kong University of Science and Technology,Hong Kong SAR,74.9,81.6,90.8,83.9,29.8,
101-150,51-100,The Ohio State University,United States,67.3,70.9,93.7,91.1,59.3,
101-150,101-150,The University of Auckland,New Zealand,76.6,84.5,83.6,81.1,51.1,
101-150,101-150,Tohoku University,Japan,76.4,67.3,81.7,82.8,62,
101-150,101-150,Tokyo Institute of Technology (Tokyo Tech),Japan,70.7,73.6,86.5,83.5,56,
101-150,101-150,Università di Padova,Italy,66.7,73.7,87.4,86.6,64,
101-150,101-150,Université Paris Cité,France,59.4,45,91.8,98.7,90.6,
101-150,151-200,Université Paul Sabatier Toulouse III,France,61.7,41.8,92.4,94,90.4,
101-150,101-150,University of Aberdeen,United Kingdom,71.1,70.3,86.8,82.2,54.6,
101-150,101-150,University of Amsterdam,Netherlands,65.4,68.4,96.8,86.9,60.9,
101-150,101-150,University of Birmingham,United Kingdom,65.9,74,94.4,88.6,64.1,
101-150,101-150,University of Calgary,Canada,72.8,74,84.3,86.5,49.3,
101-150,101-150,"University of California, Irvine",United States,67.3,58.7,100,92.1,52.2,
101-150,51-100,"University of California, Santa Cruz",United States,75.1,35.5,96.2,90.6,60.5,
101-150,101-150,University of Cape Town,South Africa,72.7,57.8,86,83.7,71.7,
101-150,,University of Chinese Academy of Sciences,China (Mainland),61.2,60.6,86.7,98,79.7,
101-150,101-150,University of East Anglia (UEA),United Kingdom,71,68.1,95.5,84.2,47.8,
101-150,101-150,University of Florida,United States,66.4,68.1,89.8,88.2,58,
101-150,101-150,University of Göttingen,Germany,66.6,69.5,88.7,83.7,66.1,
101-150,101-150,University of Helsinki,Finland,73.3,60.1,89.4,86.8,60,
101-150,101-150,University of Lausanne,Switzerland,74.6,65.1,88.5,83.5,53.9,
101-150,151-200,University of Liverpool,United Kingdom,73.8,69.6,86.7,81.3,49.9,
101-150,101-150,University of Miami,United States,74,55.4,89.6,84.4,57.3,
101-150,51-100,University of Plymouth,United Kingdom,76,82.6,88,80.4,43.5,
101-150,101-150,University of Zurich,Switzerland,67.4,66.9,95.9,88,50.4,
101-150,101-150,Uppsala University,Sweden,70,62,87.5,84.4,65.2,
101-150,101-150,Victoria University of Wellington,New Zealand,73,76.5,87.4,79.1,51.7,
101-150,101-150,Virginia Polytechnic Institute and State University,United States,72.4,70.7,85.5,84.7,59.9,
101-150,101-150,Vrije Universiteit Amsterdam,Netherlands,68.3,62.7,97.5,87.8,52.7,
101-150,101-150,Yonsei University,South Korea,76,75.5,84.8,79.1,46.9,
101-150,101-150,Zhejiang University,China (Mainland),72.5,80.5,80.8,86,49.3,
151-200,151-200,Aix-Marseille University,France,61,41.4,88.1,89.1,81,
151-200,101-150,Beijing Normal University ,China (Mainland),61.1,59.6,93,94.8,55.8,
151-200,101-150,Brown University,United States,73.7,61.8,89.8,82.2,44.1,
151-200,101-150,Cardiff University,United Kingdom,65.9,66.6,90.8,85.2,61.6,
151-200,201-230,China University of Geosciences (Beijing),China (Mainland),69.5,42.3,85.1,91.9,61.3,
151-200,151-200,Complutense University of Madrid,Spain,66,66.2,83.3,82.2,59.9,
151-200,151-200,Dalhousie University,Canada,69.7,57.4,88.8,82.8,43.4,
151-200,151-200,Florida State University,United States,67.4,52.3,90.4,83,53.1,
151-200,,Fudan University,China (Mainland),63.2,82.7,90.6,84.6,39.2,
151-200,151-200,Indian Institute of Technology Bombay (IITB),India,69.8,77.9,84.8,81.5,47.6,
151-200,151-200,King Abdulaziz University (KAU),Saudi Arabia,61.9,71.8,87.1,82.8,58.7,
151-200,151-200,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,67.1,78.2,87.2,83.3,48.6,
151-200,151-200,Kyushu University,Japan,72.3,66.7,80.1,79.8,55.2,
151-200,151-200,Lancaster University,United Kingdom,65.3,62.8,91.8,84,50.2,
151-200,101-150,Lomonosov Moscow State University,Russia,71.7,84.7,69.8,83.3,67.2,
151-200,151-200,Michigan State University,United States,62.3,70.9,92.9,87.1,55.5,
151-200,151-200,Norwegian University of Science And Technology,Norway,75.5,70.3,75.5,79.8,52.1,
151-200,151-200,Queen's University at Kingston,Canada,69.7,73.6,88.5,78.4,42.5,
151-200,151-200,Rice University,United States,68.3,62.8,89.9,84,46,
151-200,151-200,RWTH Aachen University,Germany,67.4,67.2,82.5,78.9,57.2,
151-200,151-200,Shanghai Jiao Tong University,China (Mainland),68.9,80.4,77.7,83,54.8,
151-200,151-200,Sun Yat-sen University,China (Mainland),63.9,60.4,87.8,91.9,55.3,
151-200,151-200,Technische Universität Berlin (TU Berlin),Germany,69.3,72.3,86.4,82.4,53.4,
151-200,201-230,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,63.7,75.5,92.8,85.1,33.6,
151-200,201-230,The Hong Kong Polytechnic University,Hong Kong SAR,66.3,70.8,89.9,86.6,39.7,
151-200,151-200,Tongji University,China (Mainland),71.6,47.3,80.6,87.5,46.6,
151-200,151-200,"Trinity College Dublin, The University of Dublin",Ireland,69.2,79,88.2,79.1,49.2,
151-200,151-200,Universidad de Buenos Aires (UBA),Argentina,72.1,78.3,80.7,80.2,45.1,
151-200,151-200,Universidad de Concepción,Chile,64.5,59.4,88.1,83,64.1,
151-200,151-200,Universitat Autònoma de Barcelona,Spain,63.2,67.7,87.4,82.6,62.9,
151-200,201-230,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,67.7,62.2,83.8,82.8,63.9,
151-200,151-200,Université Claude Bernard Lyon 1,France,62.4,58,90.9,86.5,65.3,
151-200,,Université de Liège,Belgium,63.4,51.7,88.3,85.2,65.7,
151-200,151-200,Université de Strasbourg,France,63.4,66.2,89.3,84.9,67.1,
151-200,151-200,"University of California, Riverside",United States,64.5,57.4,95.1,87.5,48.4,
151-200,151-200,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,69.6,79.5,84.1,78.7,51.2,
151-200,151-200,University of Florence,Italy,61,62.2,88.2,86.2,65.8,
151-200,151-200,University of Glasgow,United Kingdom,68.1,74.1,84.7,80.9,53.8,
151-200,151-200,University of Leicester,United Kingdom,62,50.9,92.1,88.5,62.5,
151-200,151-200,University of Minnesota Twin Cities,United States,63.2,68.1,88.4,87.1,58.3,
151-200,151-200,University of Naples - Federico II,Italy,64.7,63.1,84.4,83.9,69.6,
151-200,151-200,"University of North Carolina, Chapel Hill",United States,63.5,66.6,91.3,82,56.3,
151-200,151-200,University of Oklahoma,United States,65.3,61,90.9,90.1,55.9,
151-200,151-200,University of Oregon,United States,69,51.1,89,81.5,48.9,
151-200,151-200,University of Otago,New Zealand,71.9,76.9,83.7,77.7,35.9,
151-200,151-200,University of Pennsylvania,United States,64.9,78.8,90.1,78.4,42.5,
151-200,151-200,University of Pisa,Italy,66.4,74.9,79.3,78.2,65.8,
151-200,101-150,University of Science and Technology of China,China (Mainland),66.6,71.4,84.2,87.9,62.2,
151-200,101-150,University of Southern California,United States,63.8,66.8,87.4,83.7,57.7,
151-200,,University of Twente,Netherlands,65.7,55.8,93.3,87.1,65.1,
151-200,151-200,University of Waterloo,Canada,64.5,74.2,89.5,85.2,46.6,
201-250,,Albert-Ludwigs-Universitaet Freiburg,Germany,59.8,63.4,87.6,79.4,50.9,
201-250,,Aristotle University of Thessaloniki,Greece,60.7,57.8,84.5,82,64.8,
201-250,151-200,Boston University,United States,63.1,57.8,88.7,82.4,55.5,
201-250,,Charles University,Czech Republic,62.8,53,82.4,82,61.7,
201-250,,Chulalongkorn University,Thailand,67.3,70.5,76.8,73.9,45,
201-250,201-230,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,61.6,56.9,85.8,80.2,65.7,
201-250,201-230,Heriot-Watt University,United Kingdom,68.4,74,78.3,76.7,47.1,
201-250,151-200,Indian Institute of Science,India,67.2,75.7,84.5,78.2,39.2,
201-250,,Indian Institute of Technology Delhi (IITD),India,69.4,73.1,78.8,77,24.1,
201-250,201-230,Indian Institute of Technology Kharagpur (IIT-KGP),India,67.6,77.2,81.9,78.9,34.9,
201-250,,Iowa State University,United States,56,68.6,90.9,82.2,52.5,
201-250,201-230,Istanbul Technical University,Turkey,62.8,68.9,80.4,79.4,57.1,
201-250,201-230,King's College London,United Kingdom,62.2,68.6,88.9,81.1,39,
201-250,,Leibniz University Hannover,Germany,63.1,53.8,85.9,81.7,52.8,
201-250,,National Central University,Taiwan,61.3,66,83.8,79.6,59.2,
201-250,201-230,National Technical University of Athens,Greece,67.4,64.6,81.4,79.4,43.1,
201-250,151-200,Ocean University of China,China (Mainland),73.5,43.7,80,87.6,42.9,
201-250,201-230,Royal Holloway University of London,United Kingdom,67.9,58.3,85.2,78.4,40.3,
201-250,,Technische Universität Bergakademie Freiberg,Germany,67.6,55.3,81.4,77.5,53.5,
201-250,201-230,The University of Sheffield,United Kingdom,62.5,62.7,87.9,81.9,52.4,
201-250,,Universidad Nacional de Colombia,Colombia,72.3,77.4,74.6,74.2,34.8,
201-250,201-230,Universidade Federal do Rio de Janeiro,Brazil,66.2,75.3,74.5,77,50.6,
201-250,201-230,Università degli studi Roma Tre,Italy,67.9,58.1,84.7,78,50.6,
201-250,,Université Côte d\'Azur,France,61.1,35,90.7,86.3,70.9,
201-250,,Université de Lille,France,60.5,46.2,85.5,81.9,65.2,
201-250,201-230,Université de Montréal ,Canada,60.7,71,89.1,81.9,47.3,
201-250,151-200,University College Dublin,Ireland,61.4,72.6,90.1,80.9,52.9,
201-250,,University of Alaska Fairbanks,United States,62,53.5,89,84.2,45.4,
201-250,151-200,University of Bordeaux,France,63.9,53.4,89.8,83.3,57.6,
201-250,201-230,University of Cologne,Germany,60.9,52.1,88,84,60.4,
201-250,151-200,University of Delaware,United States,66.1,52.6,84,80.9,61.3,
201-250,,University of Gothenburg,Sweden,63.3,42.9,92.9,84.4,51.7,
201-250,151-200,University of Granada,Spain,64.9,63.4,82.8,81.7,61.1,
201-250,,University of Groningen,Netherlands,57.5,61.5,93.9,84.4,62.1,
201-250,201-230,University of Lisbon ,Portugal,55.8,54.8,85.5,89.1,72.1,
201-250,201-230,"University of Maryland, Baltimore County",United States,56.4,53.9,93.4,84.7,56.9,
201-250,201-230,University of Massachusetts Amherst,United States,59,59.5,90.5,83.2,49.5,
201-250,151-200,University of Milan,Italy,65.8,72.3,87.2,80.2,44.1,
201-250,201-230,University of Milano-Bicocca ,Italy,61.8,52.2,91,84.4,53.9,
201-250,151-200,University of Nottingham,United Kingdom,60.1,77.2,88.9,83.7,53.4,
201-250,201-230,University of Saskatchewan,Canada,61.3,59.2,91.2,84,45.9,
201-250,,University of Technology Sydney,Australia,59.1,67.3,91.3,85.2,56.1,
201-250,201-230,University of Tsukuba,Japan,62.1,55.8,89.4,82,48.1,
201-250,201-230,University of Utah,United States,59.5,57.9,89.4,86.2,57.2,
201-250,151-200,University of Victoria (UVic),Canada,60,62.6,92.6,87.1,53.6,
201-250,201-230,University of Virginia,United States,59.1,61.3,92.6,83.5,55.7,
201-250,151-200,University of Witwatersrand,South Africa,68.6,46.1,81.8,80.4,58.8,
201-250,201-230,University of Wollongong,Australia,62.7,65.4,86.2,81.9,53,
201-250,,University of York,United Kingdom,58.1,64.9,88.1,81.5,55.9,
201-250,201-230,Western University,Canada,64.9,68.3,83.1,79.6,52.1,
201-250,201-230,Westfälische Wilhelms-Universität Münster ,Germany,64.4,52.6,85.3,79.4,46.5,
