QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Geology,,,,,,,,,
,,,,Institutions Considered,,1078,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 240 Universities - Geology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
101-150,101-150,Beijing Normal University ,China (Mainland),60.8,57.6,91.7,93.2,56.5,
101-150,101-150,Cardiff University,United Kingdom,66,64.5,89.9,80.9,56.3,
101-150,201-230,China University of Geosciences (Beijing),China (Mainland),71.2,41.3,84.3,89.6,63.2,
101-150,51-100,Colorado School of Mines,United States,81.6,83.4,81.9,78.4,45.4,
101-150,101-150,Duke University,United States,65.5,74.7,93.7,78.9,47.8,
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,73.4,63,87.8,80.2,60.4,
101-150,101-150,École Normale Supérieure de Lyon,France,63.5,69.8,91,82.1,61.2,
101-150,101-150,Freie Universitaet Berlin,Germany,75.7,67.4,87.2,78.4,53,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,70.6,53.2,92.8,81.3,55.4,
101-150,101-150,Hokkaido University,Japan,75.2,62.9,83.5,78.4,50.2,
101-150,101-150,KU Leuven,Belgium,68.5,68.8,88.5,83.7,63.7,
101-150,51-100,Macquarie University,Australia,64.4,61.4,88.2,81.5,65.2,
101-150,101-150,Michigan State University,United States,59.6,70.9,92.1,83.3,56.3,
101-150,101-150,Nagoya University,Japan,67.6,62,84.5,80.7,67.8,
101-150,101-150,National Taiwan University (NTU),Taiwan,75.4,77.3,82.2,76.2,49.9,
101-150,101-150,Northwestern University,United States,57,74.8,100,83.1,50.3,
101-150,51-100,Oregon State University,United States,78.4,52.4,89.4,84.6,52.3,
101-150,101-150,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,61.5,64.9,92.9,86,67.4,
101-150,51-100,Ruprecht-Karls-Universität Heidelberg,Germany,61.2,65.7,96.2,87,69,
101-150,51-100,Seoul National University,South Korea,71.8,78.9,86.3,82.3,54.4,
101-150,101-150,Sun Yat-sen University,China (Mainland),64.6,59.3,87.1,90.1,56.1,
101-150,101-150,Technical University of Munich,Germany,67.4,70.3,92.8,84.6,56.3,
101-150,151-200,The Hong Kong University of Science and Technology,Hong Kong SAR,75.8,82,89.9,79.4,29.2,
101-150,51-100,The Ohio State University,United States,62.6,70.1,93.6,89.1,60,
101-150,101-150,The University of Auckland,New Zealand,80.3,86.1,83.1,75.4,47.1,
101-150,101-150,Tohoku University,Japan,75.5,65.7,81.4,77.5,60.4,
101-150,151-200,Tokyo Institute of Technology (Tokyo Tech),Japan,67.7,72.8,86.4,79.4,57.1,
101-150,101-150,Università di Padova,Italy,63.2,76.2,86.7,83.3,62.2,
101-150,151-200,Université Paul Sabatier Toulouse III,France,60.6,45.8,91.3,92.3,89.2,
101-150,101-150,University of Aberdeen,United Kingdom,71.8,68,86.6,78,55.8,
101-150,101-150,University of Amsterdam,Netherlands,61.4,68.3,95.9,84,60.2,
101-150,101-150,University of Calgary,Canada,72.7,71.5,85,82.7,47.4,
101-150,101-150,University of Cape Town,South Africa,74.1,55.7,85.7,80,71.5,
101-150,101-150,University of East Anglia (UEA),United Kingdom,70.9,70.2,93.7,79.6,45.5,
101-150,101-150,University of Florida,United States,67,66.6,89.1,85.5,57.6,
101-150,101-150,University of Göttingen,Germany,66.2,71.4,88.2,79.4,67.2,
101-150,101-150,University of Helsinki,Finland,73.3,60,88.3,82.9,57.1,
101-150,101-150,University of Lausanne,Switzerland,77.5,62.2,88.1,77.7,55.7,
101-150,151-200,University of Leicester,United Kingdom,63,49.6,91.4,85.6,63.4,
101-150,101-150,University of Miami,United States,74.2,52.2,87.7,78.7,56.9,
101-150,101-150,University of Minnesota Twin Cities,United States,62.5,72.2,88.6,83.5,57.9,
101-150,101-150,University of Oklahoma,United States,64.8,58.5,91.1,87.9,55.5,
101-150,101-150,University of Plymouth,United Kingdom,73.6,83.5,85.1,74.3,42.5,
101-150,101-150,University of Science and Technology of China,China (Mainland),64.1,73,82.7,83.9,61.9,
101-150,101-150,University of Twente,Netherlands,67.4,56.5,92.8,83.1,63.3,
101-150,101-150,University of Zurich,Switzerland,66.6,68.2,94.7,84.4,51,
101-150,101-150,Uppsala University,Sweden,69,62.1,87.3,79.6,63.9,
101-150,151-200,Victoria University of Wellington,New Zealand,74.3,76.5,85.7,72.5,48.6,
101-150,101-150,Virginia Polytechnic Institute and State University,United States,72.6,70.5,84.8,80,58.3,
151-200,101-150,Aix-Marseille University,France,59.2,44.3,88.1,86.5,80.9,
151-200,,Aristotle University of Thessaloniki,Greece,62.5,58.4,84.7,77.7,64.4,
