QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Theology, Divinity & Religious Studies",,,,,,,,
Faculty Area,,Arts & Humanities,,Institutions Considered,,536,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.7,,,
,,,,Employer,0.1,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
"Top 140 Universities - Theology, Divinity & Religious Studies",,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
51-100,,King Saud University,Saudi Arabia,63.6,64.2,65.7,52.2,
51-100,,Kyoto University,Japan,71.8,60,62.7,52.2,
51-100,51-100,Lund University,Sweden,63.5,41.7,82.3,60.6,
51-100,,Macquarie University,Australia,64.2,56.8,79.7,60.6,
51-100,46  ,McGill University,Canada,64.6,60,82.8,69.8,
51-100,101-140,Monash University,Australia,58.1,71.5,88.7,72.4,
51-100,51-100,New York University (NYU),United States,58.8,60.7,84,69.8,
51-100,51-100,Pontificia Universidad Católica Argentina,Argentina,68.9,81,60.4,56.7,
51-100,,Pontificia Universidad Católica del Perú,Peru,63.5,65.6,72.4,52.2,
51-100,101-140,Pontificia Universidad Javeriana,Colombia,69.4,67.4,61.6,52.2,
51-100,51-100,Sapienza University of Rome,Italy,75.9,54.4,63.8,46.9,
51-100,51-100,SOAS University of London ,United Kingdom,66.3,56.6,91.5,84.2,
51-100,101-140,"Sofia University ""St. Kliment Ohridski""",Bulgaria,60.6,100,65.4,40.4,
51-100,37=,Tel Aviv University,Israel,69.9,35.2,82.1,72.4,
51-100,,The Australian National University,Australia,64.2,77.7,78.5,67.1,
51-100,51-100,The University of Exeter,United Kingdom,60.9,41.8,84.9,72.4,
51-100,51-100,The University of Manchester,United Kingdom,64.9,59.6,90.5,76.9,
51-100,51-100,The University of Melbourne,Australia,60,78,87.2,67.1,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,68.6,71.8,73.4,52.2,
51-100,51-100,Universität Hamburg,Germany,67.5,38.5,76.4,60.6,
51-100,51-100,Université de Strasbourg,France,64.4,57.3,80.4,56.7,
51-100,51-100,Université PSL,France,64.9,46.7,69.5,69.8,
51-100,51-100,University of Amsterdam,Netherlands,63.9,44.1,91.3,72.4,
51-100,51-100,University of British Columbia,Canada,61.6,62.2,93.1,74.7,
51-100,47=,"University of California, Los Angeles (UCLA)",United States,60.3,67.4,89.2,72.4,
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States,59.9,35.8,92.5,76.9,
51-100,51-100,University of Copenhagen,Denmark,69.7,43.7,86,72.4,
51-100,51-100,University of Groningen,Netherlands,68.9,28.6,95.5,76.9,
51-100,51-100,University of Michigan-Ann Arbor,United States,60.2,48.1,97.9,84.2,
51-100,51-100,University of Otago,New Zealand,63.3,51.7,85.1,67.1,
51-100,51-100,University of Ottawa,Canada,58.9,63.2,89.6,76.9,
51-100,51-100,University of Texas at Austin,United States,61.7,52.6,84.6,69.8,
51-100,51-100,University of Turin,Italy,61.8,66,76.4,64,
51-100,51-100,University of Virginia,United States,64.1,77.3,84.2,69.8,
51-100,51-100,University of Washington,United States,62.4,55,73.2,56.7,
51-100,51-100,Uppsala University,Sweden,64.5,40.9,89.6,74.7,
51-100,101-140,Victoria University of Wellington,New Zealand,63.5,72.9,67.2,56.7,
101-140,101-140,Albert-Ludwigs-Universitaet Freiburg,Germany,54.1,50.4,83,67.1,
101-140,,Ateneo de Manila University,Philippines,64.5,45.7,63.5,56.7,
101-140,,Ca' Foscari University of Venice ,Italy,61.4,58.3,60.8,40.4,
101-140,,Chulalongkorn University,Thailand,57.1,78.5,48.5,40.4,
101-140,101-140,Complutense University of Madrid,Spain,54.5,75.1,68.7,56.7,
101-140,,Cornell University,United States,55.9,60.1,66.9,46.9,
101-140,51-100,Fudan University,China (Mainland),56.8,61.8,74.5,60.6,
101-140,,Goethe-University Frankfurt am Main,Germany,59.9,19.2,69.3,56.7,
101-140,101-140,HSE University,Russia,50,71.2,82.6,76.9,
101-140,,Jagiellonian University,Poland,58.9,24.1,83.7,64,
101-140,,Jawaharlal Nehru University,India,67.3,57.2,38,32,
101-140,101-140,Lancaster University,United Kingdom,52.8,51.6,89.3,72.4,
101-140,51-100,McMaster University,Canada,54.2,60.3,74.9,56.7,
101-140,101-140,National and Kapodistrian University of Athens,Greece,59.1,52.5,59.5,52.2,
101-140,101-140,Pontifícia Universidade Católica de São Paulo,Brazil,56.3,47.3,68.3,60.6,
101-140,51-100,Qatar University,Qatar,67.4,53,44.6,32,
101-140,101-140,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,65.7,33.3,64.8,56.7,
101-140,101-140,Rice University,United States,56.8,43.1,97.6,80.7,
101-140,51-100,Ruhr-Universität Bochum,Germany,56.2,57.9,84.9,67.1,
101-140,101-140,Santa Clara University,United States,53.9,42.8,82.8,67.1,
