QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Politics & International Studies,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,1031,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.5,,,
,,,,Employer,0.3,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
Top 250 Universities - Politics & International Studies,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
51-100,51-100,Monash University,Australia,57.1,76.7,86.7,79.9,
51-100,101-150,National Taiwan University (NTU),Taiwan,67.1,73.9,59.4,49.1,
51-100,101-150,Northwestern University,United States,56.4,71.8,92.4,80.7,
51-100,51-100,Queen Mary University of London,United Kingdom,62.3,68.3,90.8,85.9,
51-100,45=,Seoul National University,South Korea,66.7,72.3,72.9,65.7,
51-100,51-100,The University of Exeter,United Kingdom,62.8,65.5,92.3,85.3,
51-100,51-100,The University of Hong Kong,Hong Kong SAR,63.2,80.2,87.6,74.2,
51-100,51-100,The University of Queensland,Australia,62,72.6,88.1,79.2,
51-100,51-100,The University of Sheffield,United Kingdom,60.9,65,92.5,89.2,
51-100,51-100,The University of Warwick,United Kingdom,61.5,74.9,94.3,91.3,
51-100,51-100,"Trinity College Dublin, The University of Dublin",Ireland,66,72.9,77.6,66.9,
51-100,51-100,Universidad de Buenos Aires (UBA),Argentina,70.5,84.1,59.5,51.3,
51-100,51-100,Universidad de los Andes,Colombia,68.4,81.6,69.8,61.7,
51-100,50=,Universidad Nacional Autónoma de México (UNAM),Mexico,72.6,83.4,61.3,46.7,
51-100,51-100,Universidade de São Paulo,Brazil,69,77.5,72.3,64.4,
51-100,,Università Commerciale Luigi Bocconi (Bocconi University),Italy,54.7,87.4,94.4,76.8,
51-100,51-100,Universität Mannheim,Germany,62.8,61.9,94.5,84.7,
51-100,51-100,Universitat Pompeu Fabra (Barcelona),Spain,59.8,69.8,85.1,73.3,
51-100,51-100,Université Paris 1 Panthéon-Sorbonne ,France,70.7,78.6,67.3,61.7,
51-100,51-100,University College Dublin,Ireland,61.1,67.2,87,80.7,
51-100,51-100,University of Geneva,Switzerland,64.8,64.5,85.7,76.8,
51-100,51-100,University of Glasgow,United Kingdom,57.7,68.9,90.2,82.7,
51-100,51-100,University of Gothenburg,Sweden,68.2,54.7,93.1,89.2,
51-100,51-100,"University of North Carolina, Chapel Hill",United States,63.5,59.5,95.2,79.2,
51-100,51-100,University of Notre Dame,United States,69.1,61.9,82.1,70.3,
51-100,51-100,University of Oslo,Norway,70.2,56.3,88.4,88.2,
51-100,101-150,University of Ottawa,Canada,59.8,69.1,89,77.6,
51-100,51-100,University of Pennsylvania,United States,54.1,75.8,95.5,85.3,
51-100,51-100,University of St Andrews,United Kingdom,66.9,70.9,76.1,69.2,
51-100,101-150,University of Sussex,United Kingdom,62.7,61.8,89,84,
51-100,51-100,University of Texas at Austin,United States,63,73,88.3,77.6,
51-100,51-100,University of Vienna,Austria,66.7,54.9,92.2,87.6,
51-100,51-100,University of Zurich,Switzerland,68.2,63.3,99.5,93.2,
51-100,51-100,Uppsala University,Sweden,67.7,59.3,92.9,82.1,
51-100,51-100,Victoria University of Wellington,New Zealand,64.6,66.9,82,69.2,
51-100,51-100,Waseda University,Japan,72.1,71.9,71.9,57,
101-150,151-200,American University of Beirut (AUB),Lebanon,60.9,69.8,62.8,57,
101-150,101-150,Boston University,United States,52.6,74.8,93.3,78.4,
101-150,101-150,Carleton University,Canada,54.3,63.9,84,75.9,
101-150,101-150,Charles University,Czech Republic,65.6,53.2,72.9,69.2,
101-150,101-150,Chulalongkorn University,Thailand,66.8,65.4,56.7,38,
