QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Pharmacy & Pharmacology,,,,,,,,,
,,,,Institutions Considered,,1040,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 360 Universities - Pharmacy & Pharmacology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
=67,77  ,Freie Universitaet Berlin,Germany,75.1,65.9,88.8,85.7,45.3,76.1
=67,55  ,Université Paris-Saclay,France,65.6,73.5,87.7,89.7,70.7,76.1
=67,68=,University of Glasgow,United Kingdom,71.3,69.9,90,86.3,53.1,76.1
=70,66=,Cornell University,United States,65.3,80.9,90.3,87.8,61.5,76
=70,51  ,University of Basel,Switzerland,66.6,73.4,87.8,88,68.8,76
72,101-150,Universiti Malaya (UM),Malaysia,69.1,78.3,87.2,82.5,65,75.9
=73,62  ,Shanghai Jiao Tong University,China (Mainland),66.9,75.7,89.1,95.8,44.4,75.8
=73,66=,University of Illinois at Chicago (UIC),United States,73.9,63.1,87.7,86.3,50.8,75.8
75,79=,The University of Hong Kong,Hong Kong SAR,65,77.9,93.6,89.4,53.5,75.7
=76,85=,Kyoto University,Japan,78.5,71.8,84,83.6,35.4,75.6
=76,87=,Sapienza University of Rome,Italy,64.8,78,88.5,90.4,61.4,75.6
=76,87=,Universiti Sains Malaysia (USM),Malaysia,75.6,66.3,82,80.7,62.3,75.6
=79,71=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,70.5,75.5,90.3,88.7,39.1,75.5
=79,63=,The University of New South Wales (UNSW Sydney),Australia,65.8,75.7,88.3,87.5,64.7,75.5
=81,73  ,China Pharmaceutical University,China (Mainland),74.5,49.1,87.5,95.7,40.9,75.4
=81,87=,Universidad Nacional Autónoma de México (UNAM),Mexico,71.3,86.2,83.8,82.9,48.8,75.4
=81,83=,Università di Padova,Italy,64.8,77.9,88.2,87.8,64.5,75.4
84,87=,University of Wisconsin-Madison,United States,71.4,71.6,86.7,85.7,51.2,75.3
=85,99=,Rutgers University–New Brunswick,United States,63.1,77.3,90.5,90.2,59.6,75.1
=85,101-150,University of Naples - Federico II,Italy,61.3,65.4,90.4,92,75.6,75.1
87,60  ,Université Paris Cité,France,64.6,51.9,88.7,91.9,78.8,75
=88,92=,National Taiwan University (NTU),Taiwan,71.4,76.8,89.1,84.3,40.2,74.9
=88,94=,Technical University of Munich,Germany,67.4,79.3,87.6,84.1,56.4,74.9
=90,63=,Goethe-University Frankfurt am Main,Germany,74.2,55.7,87.6,84.5,50.5,74.7
=90,101-150,The University of Texas Southwestern Medical Center at Dallas,United States,70.9,63.7,89.7,85.1,49.6,74.7
=92,101-150,Sechenov University,Russia,71.4,58.6,77.3,83.4,79,74.5
=92,94=,University of Porto,Portugal,60.9,53.8,91.9,93,77.6,74.5
=94,78  ,Cardiff University,United Kingdom,68.3,65.7,87.6,84.9,60.3,74.4
=94,68=,Université catholique de Louvain (UCLouvain),Belgium,67.2,70.4,86.6,85.7,60.1,74.4
=94,99=,University College Cork,Ireland,68.3,74.8,86.4,85.5,52,74.4
=94,92=,University of Birmingham,United Kingdom,58.1,77.3,96,92,58.6,74.4
98,101-150,Ghent University,Belgium,64.4,62.5,91.1,89.2,62.5,74.3
99,81  ,Complutense University of Madrid,Spain,65.9,71.5,88.6,86.1,56.8,74.1
=100,101-150, University of Dundee,United Kingdom,65.9,54.6,97.5,90.7,45.8,74
=100,91  ,Newcastle University,United Kingdom,60.1,66.9,95.4,89.6,62.6,74
101-150,151-200,Alexandria University ,Egypt,61.4,61.4,89.3,86.9,48.8,
101-150,101-150,Alma Mater Studiorum - University of Bologna,Italy,63.9,79.4,86.8,86.7,51.5,
101-150,101-150,"Birla Institute of Technology and Science, Pilani",India,71.1,71.4,88,86.1,30,
101-150,101-150,Boston University,United States,64.4,73.5,87.4,83.6,51.9,
101-150,151-200,China Medical University Taichung,Taiwan,67.9,55.9,83.8,83.2,38,
101-150,101-150,Chulalongkorn University,Thailand,63.5,79.4,84.8,80.2,51.2,
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,62.5,61.9,86.3,82,59.4,
101-150,101-150,Emory University,United States,65,55.1,88,90.4,66.5,
101-150,74=,Johannes Gutenberg Universität Mainz,Germany,62.6,53.8,90.3,87.1,71.9,
101-150,101-150,JSS Academy of Higher Education and Research (Deemed to be University),India,72.1,71.9,78.8,79.9,39.9,
101-150,79=,Korea University,South Korea,64.5,72.5,86.8,85.9,41,
101-150,101-150,Lebanese University,Lebanon,76.4,61.3,75.8,76.3,31.9,
101-150,101-150,Lomonosov Moscow State University,Russia,73.4,81.3,79,78.2,42.9,
101-150,,London School of Hygiene & Tropical Medicine,United Kingdom,60.4,62.9,85.4,83.6,71.7,
101-150,99=,Mahidol University,Thailand,67.8,64.8,84.1,83.2,60,
101-150,101-150,Nanjing University,China (Mainland),62.4,64.7,91.1,91.1,34.3,
101-150,101-150,National and Kapodistrian University of Athens,Greece,58.7,66.1,85.7,86.9,64.9,
101-150,101-150,New York University (NYU),United States,67.4,73.5,87,84.7,46.8,
101-150,101-150,Qatar University,Qatar,68.4,64.9,80.9,79.4,49.9,
101-150,101-150,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,61.8,57.6,89.3,86.5,72.9,
101-150,151-200,Sichuan University,China (Mainland),59.2,64.5,90.6,95.9,34.7,
101-150,82  ,The Ohio State University,United States,65.3,62.5,87.9,88,51.4,
101-150,101-150,The Scripps Research Institute (TSRI),United States,79.9,47.2,77,76.3,27.7,
101-150,101-150,The University of Adelaide,Australia,62.2,70.5,90.4,87.8,48.8,
101-150,151-200,The University of Texas M. D. Anderson Cancer Center,United States,62.4,45.7,91.9,89.4,52.6,
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,65.8,82.7,80.4,77.3,44.5,
101-150,151-200,Universidade Estadual de Campinas (Unicamp),Brazil,61.5,77.8,86.3,82.9,37.8,
101-150,151-200,Università degli Studi di Pavia,Italy,53,63.9,90.8,87.8,69.4,
101-150,101-150,Université Claude Bernard Lyon 1,France,58.3,63.9,90.4,85.5,61.7,
101-150,151-200,Université de Montpellier,France,59.2,59.4,84.3,82,76.1,
101-150,101-150,Université de Montréal ,Canada,64,71.6,85.7,85.3,46,
101-150,101-150,Université de Strasbourg,France,68.6,71.2,85.1,81.7,50.2,
101-150,151-200,Universiti Kebangsaan Malaysia (UKM),Malaysia,67.4,66.5,82.4,80.5,38.1,
101-150,101-150,University Duesseldorf,Germany,60.2,36.8,91.1,86.9,65.9,
101-150,101-150,University of Bath,United Kingdom,70.7,68.4,79.5,79.9,36.9,
101-150,,University of Chinese Academy of Sciences,China (Mainland),65.2,56.8,88.3,93.7,45.1,
101-150,101-150,University of Coimbra,Portugal,58.2,55.9,93.8,89.7,49.6,
101-150,101-150,University of Florence,Italy,62.8,54.8,86,87.3,60.8,
101-150,101-150,University of Florida,United States,59.2,61.3,85.4,88.5,66.7,
101-150,101-150,University of Jordan,Jordan,68.6,76.6,85.5,82,43.1,
