Rank,University,Overall Score,Partnerships with Employers,Graduate Employment Rate,Employer-Student Connections,Employer Reputation,Location
424.0,Universidad de Antioquia,,-,-,-,34.5,
425.0,Universidad de Concepción,,-,-,-,29.6,
426.0,Universidad de La Habana,,-,-,-,-,
427.0,Universidad de La Sabana,,-,-,-,37.7,
428.0,Universidad de Lima,,-,-,-,33.5,
429.0,Universidad de Palermo (UP),,-,96,82.2,-,
430.0,Universidad de Puerto Rico,,-,-,-,-,
431.0,Universidad de San Andrés - UdeSA,,-,74.6,64.7,-,
432.0,Universidad de Santiago de Chile (USACH),,-,-,-,52.4,
433.0,Universidad de las Américas Puebla (UDLAP),,-,91.6,87.6,-,
434.0,Universidad de los Andes - Chile,,-,92.1,51.1,-,
435.0,Universidad del Rosario,,-,76.5,-,30.6,
436.0,Universidade Estadual de Campinas (Unicamp),,-,-,-,33.9,
437.0,Universidade Federal de Minas Gerais      ,,-,-,-,-,
438.0,Universiti Kebangsaan Malaysia (UKM),,-,-,-,37.7,
439.0,Universiti Malaysia Pahang,,-,98.8,79.2,-,
440.0,Universiti Putra Malaysia (UPM),,-,-,-,37.3,
441.0,Universiti Sains Malaysia (USM),,-,-,-,44.6,
442.0,Universiti Teknologi MARA - UiTM,,-,-,-,30.4,
443.0,Universiti Teknologi Malaysia ,,-,-,-,38.8,
444.0,University of Baghdad,,-,-,-,-,
445.0,University of Bucharest,,-,-,-,-,
446.0,"University of California, Irvine",,57.2,-,-,-,
447.0,"University of California, Riverside",,49.8,-,49.2,-,
448.0,University of Canterbury | Te Whare Wānanga o Waitaha,,-,-,-,38.2,
449.0,University of Cincinnati,,-,-,-,-,
450.0,University of Colombo,,-,-,-,-,
451.0,University of Connecticut,,-,-,-,-,
452.0,University of Debrecen,,-,-,-,-,
453.0,University of Dhaka,,-,-,-,-,
454.0, University of Dundee,,-,72.2,-,-,
455.0,University of Engineering & Technology (UET) Lahore,,-,-,-,27.1,
456.0,University of Gothenburg,,-,-,-,-,
457.0,University of Guelph,,-,-,-,27.2,
458.0,University of Göttingen,,-,-,-,-,
459.0,University of Houston,,-,-,-,-,
460.0,University of Huddersfield,,-,84.5,-,-,
461.0,University of Iowa,,-,-,-,-,
462.0,University of Johannesburg,,-,-,-,-,
463.0,University of Jordan,,-,-,-,30.3,
464.0,University of Kent,,-,77.1,-,-,
465.0,University of Kentucky,,-,-,-,-,
466.0,University of Kwazulu-Natal,,-,-,-,-,
467.0,University of Leicester,,-,64.5,-,-,
468.0,University of Ljubljana,,-,-,-,-,
469.0,University of Milano-Bicocca ,,-,-,-,-,
470.0,"University of Missouri, Columbia",,-,-,-,-,
471.0,University of Naples - Federico II,,50.2,-,-,-,
472.0,University of New Brunswick,,-,79.9,-,-,
473.0,University of Oklahoma,,-,-,-,-,
474.0,University of Portsmouth,,-,81.4,57.5,-,
475.0,University of Rochester,,43.7,-,-,-,
476.0,University of South Australia,,-,-,-,-,
477.0,University of South Carolina,,-,-,-,-,
478.0,University of Stirling,,-,73.8,74.2,-,
479.0,University of Sussex,,-,-,-,-,
480.0,University of Tartu,,-,-,-,-,
481.0,University of Tehran,,-,-,-,-,
482.0,University of Texas Dallas,,-,-,-,-,
483.0,University of Tulsa,,-,-,83.8,-,
484.0,University of Turku,,-,-,-,25.7,
485.0,University of Victoria (UVic),,49.5,-,-,-,
486.0,University of Zagreb,,-,-,-,-,
487.0,University of the Philippines,,-,-,-,39.3,
488.0,University of the Punjab,,-,-,-,27,
489.0,Università degli Studi di Pavia,,46.3,-,-,-,
490.0,Universität Innsbruck,,-,-,-,-,
491.0,Université Paris 1 Panthéon-Sorbonne ,,-,-,-,44,
492.0,Université de Liège,,-,69.8,-,-,
493.0,Ural Federal University - UrFU,,-,-,-,-,
494.0,Verona University,,63.3,-,-,-,
495.0,Viet Nam National University Ho Chi Minh City (VNU-HCM),,-,-,-,-,
496.0,Vilnius University ,,-,-,-,-,
497.0,Vrije Universiteit Amsterdam,,-,-,-,-,
498.0,Vytautas Magnus University,,-,89.5,81.3,-,
499.0,Warsaw University of Technology,,-,-,-,49.8,
500.0,Western Sydney University,,-,-,-,-,
501.0,Yokohama National University,,-,-,93.7,-,
502.0,York University,,-,-,-,33.5,
503.0,Abai Kazakh National Pedagogical University,,-,94.2,-,-,
504.0,Karaganda Buketov University,,-,-,-,-,
505.0,Aix-Marseille University,,-,-,-,-,
506.0,American University in Dubai,,-,-,-,-,
507.0,Amirkabir University of Technology,,-,99.6,-,-,
508.0,Applied Science University - Bahrain,,-,100,-,-,
509.0,Aristotle University of Thessaloniki,,-,-,-,-,
510.0,Bina Nusantara University (BINUS),,-,-,-,-,
511.0,Ca' Foscari University of Venice ,,-,-,-,-,
512.0,Clemson University,,-,-,-,-,
513.0,Cracow University of Technology (Politechnika Krakowska),,-,70.4,-,-,
514.0,"Essex, University of",,-,-,-,-,
515.0,Ewha Womans University,,-,-,-,-,
516.0,Fordham University ,,-,-,-,-,
517.0,Institut polytechnique de Grenoble - Grenoble Institute of Technology,,-,-,-,-,
518.0,Hacettepe University ,,-,-,-,-,
519.0,Indian Institute of Technology Roorkee (IITR),,-,-,-,-,
520.0,Instituto Tecnológico de Buenos Aires (ITBA),,-,-,-,-,
521.0,Kaunas University of Technology,,-,-,50.8,-,
522.0,Khalifa University,,-,-,-,-,
523.0,Konkuk University ,,-,-,-,-,
524.0,National Taiwan Normal University,,-,77.8,-,-,
525.0,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,-,-,-,-,
526.0,Novosibirsk State Technical University,,-,70.3,-,-,
527.0,Radboud University ,,-,-,-,-,
528.0,Robert Gordon University,,-,87.7,-,-,
529.0,SOAS University of London ,,-,-,-,-,
530.0,Sabanci University,,-,-,-,-,
531.0,Sejong University ,,-,-,-,-,
532.0,Slovak University of Technology in Bratislava,,-,94.3,-,-,
533.0,Sophia University ,,-,-,68.2,-,
534.0,Sultan Qaboos University,,-,-,-,-,
535.0,Tampere University,,-,-,-,25.4,
536.0,Technische Universität Braunschweig,,-,-,-,-,
537.0,Tecnológico de Costa Rica -TEC,,-,-,-,32.1,
538.0,Universidad Industrial de Santander - UIS,,-,-,-,27.6,
539.0,Universidad Nacional Mayor de San Marcos,,-,-,-,33.8,
540.0,Universidad Nacional de la Asunción,,-,-,-,-,
541.0,Universidad ORT Uruguay,,-,-,-,-,
542.0,Universidad de la República (Udelar),,-,-,-,-,
543.0,Universidade Católica Portuguesa - UCP,,-,-,-,-,
544.0,Universitas Brawijaya ,,-,79.9,-,-,
545.0,Universiti Tenaga Nasional (UNITEN),,-,77.4,-,-,
546.0,University of Calcutta,,-,-,-,-,
547.0,University of Denver,,-,-,58,-,
548.0,University of East Anglia (UEA),,-,77.6,-,-,
549.0,University of Manitoba,,-,-,-,-,
550.0,Ecole Centrale de Nantes,,-,-,-,41.2,
inf,Cracow University of Technology (Politechnika Krakowska),,,,,,"Krakow, Poland"
inf,Clemson University,,,,,,"Clemson, United States"
inf,Ca' Foscari University of Venice ,,,,,,"Venice, Italy"
inf,Bina Nusantara University (BINUS),,,,,,"Jakarta, Indonesia"
inf,Aristotle University of Thessaloniki,,,,,,"Thessaloniki, Greece"
inf,Applied Science University - Bahrain,,,,,,"Al-Ekir, Bahrain"
inf,Fordham University ,,,,,,"New York City, United States"
inf,Radboud University ,,,,,,"Nijmegen, Netherlands"
inf,Robert Gordon University,,,,,,"Aberdeen, United Kingdom"
inf,SOAS University of London ,,,,,,"London, United Kingdom"
inf,Aix-Marseille University,,,,,,"Marseille, France"
inf,University of Manitoba,,,,,,"Winnipeg, Canada"
inf,University of East Anglia (UEA),,,,,,"Norwich, United Kingdom"
inf,University of Denver,,,,,,"Denver, United States"
inf,University of Calcutta,,,,,,"Kolkata, India"
inf,Universiti Tenaga Nasional (UNITEN),,,,,,"Kajang, Malaysia"
inf,Universitas Brawijaya ,,,,,,"Malang , Indonesia"
inf,Sabanci University,,,,,,"Istanbul, Turkey"
inf,Sejong University ,,,,,,"Seoul, South Korea"
inf,Slovak University of Technology in Bratislava,,,,,,"Bratislava, Slovakia"
inf,Sophia University ,,,,,,"Tokyo, Japan"
inf,Sultan Qaboos University,,,,,,"Muscat, Oman"
inf,Tampere University,,,,,,"Tampere, Finland"
inf,Ecole Centrale de Nantes,,,,,,"Nantes, France"
inf,Technische Universität Braunschweig,,,,,,"Braunschweig, Germany"
inf,Universidad Industrial de Santander - UIS,,,,,,"Bucaramanga, Colombia"
inf,Universidad Nacional Mayor de San Marcos,,,,,,"Lima, Peru"
inf,Universidad Nacional de la Asunción,,,,,,"San Lorenzo, Paraguay"
inf,Universidad ORT Uruguay,,,,,,"Montevideo, Uruguay"
inf,Universidad de la República (Udelar),,,,,,"Montevideo, Uruguay"
inf,Universidade Católica Portuguesa - UCP,,,,,,"Lisbon, Portugal"
inf,Tecnológico de Costa Rica -TEC,,,,,,"Cartago, Costa Rica"
inf,"Essex, University of",,,,,,"Colchester, United Kingdom"
inf,Johns Hopkins University,73.8,,,,,"Baltimore, United States"
inf,Hacettepe University ,,,,,,"Ankara, Turkey"
inf,University of Bristol,71.6,,,,,"Bristol, United Kingdom"
inf,Kyoto University,70.6,,,,,"Kyoto, Japan"
inf,University of Leeds,70.6,,,,,"Leeds, United Kingdom"
inf,California Institute of Technology (Caltech),66.9,,,,,"Pasadena, United States"
inf,Universitat de Barcelona,61.1,,,,,"Barcelona, Spain"
inf,University of Wisconsin-Madison,66.9,,,,,"Madison, United States"
inf,Western University,73.8,,,,,"London, Canada"
inf,Universidad Nacional Autónoma de México  (UNAM),61.5,,,,,"Mexico City, Mexico"
inf,KAIST - Korea Advanced Institute of Science & Technology,64.1,,,,,"Daejeon, South Korea"
inf,The University of Warwick,64.1,,,,,"Coventry, United Kingdom"
inf,King's College London,65.6,,,,,"London, United Kingdom"
inf,McMaster University,61.9,,,,,"Hamilton, Canada"
inf,University of Florida,61.9,,,,,"Gainesville, United States"
inf,Chalmers University of Technology,61.5,,,,,"Gothenburg, Sweden"
inf,The University of Auckland,65.6,,,,,"Auckland, New Zealand"
inf,Ewha Womans University,,,,,,"Seoul, South Korea"
inf,Politecnico di Milano,73.8,,,,,"Milan, Italy"
inf,The University of New South Wales (UNSW Sydney),84.5,,,,,"Sydney, Australia"
inf,Novosibirsk State Technical University,,,,,,"Novosibirsk, Russia"
inf,Indian Institute of Technology Roorkee (IITR),,,,,,"Roorkee, India"
inf,Institut polytechnique de Grenoble - Grenoble Institute of Technology,,,,,,"Grenoble, France"
inf,Instituto Tecnológico de Buenos Aires (ITBA),,,,,,"Buenos Aires, Argentina"
inf,Karaganda Buketov University,,,,,,"Karaganda, Kazakhstan"
inf,Kaunas University of Technology,,,,,,"Kaunas, Lithuania"
inf,American University in Dubai,,,,,,"Dubai, United Arab Emirates"
inf,Khalifa University,,,,,,"Abu Dhabi, United Arab Emirates"
inf,National Taiwan Normal University,,,,,,"Taipei City, Taiwan"
inf,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",,,,,,"Kyiv, Ukraine"
inf,Abai Kazakh National Pedagogical University,,,,,,"Almaty, Kazakhstan"
inf,Amirkabir University of Technology,,,,,,"Tehran, Iran"
inf,The University of Edinburgh,71.6,,,,,"Edinburgh, United Kingdom"
inf,The University of Queensland,66.9,,,,,"Brisbane City, Australia"
inf,Konkuk University ,,,,,,"Seoul, South Korea"
inf,University College Dublin,61.1,,,,,"Dublin, Ireland"
