2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,46=,Universitat de Barcelona,Spain,68.4,66,78.2,77.5,,
51-100,101-150,Universität Hamburg,Germany,66.5,54.5,81.9,77.5,,
51-100,51-100,University College Dublin,Ireland,68.4,56.9,82,70,,
51-100,51-100,"University of California, Irvine",United States,67.3,50.2,83.6,77.5,,
51-100,51-100,University of Glasgow,United Kingdom,67,70.3,87.6,80.1,,
51-100,51-100,University of Groningen,Netherlands,66.7,60.8,88.1,82.4,,
51-100,51-100,University of Helsinki,Finland,66.3,53.1,83.7,81.7,,
51-100,101-150,University of Kent,United Kingdom,61.3,56,91.1,70,,
51-100,51-100,University of Navarra,Spain,71.5,68.5,70.3,62.8,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States,61.6,45.4,90.7,80.9,,
51-100,51-100,University of Nottingham,United Kingdom,59.6,69.6,89.1,80.9,,
51-100,51-100,University of Oslo,Norway,67.3,53.6,84,80.1,,
51-100,101-150,University of Otago,New Zealand,62.3,73.9,82.7,64.4,,
51-100,34=,University of Southern California,United States,63,64.3,92.5,85.2,,
51-100,51-100,University of Texas at Austin,United States,65.2,73.2,87.5,80.9,,
51-100,101-150,University of Zurich,Switzerland,66.8,62.1,82.3,72.4,,
51-100,51-100,Ural Federal University - UrFU,Russia,68.6,75.6,66.9,57,,
51-100,51-100,Utrecht University,Netherlands,65.6,53.8,82.1,75.6,,
51-100,51-100,Western University,Canada,67.6,68.2,79.2,70,,
51-100,43,Wuhan University,China (Mainland),65.6,69.4,72.4,54.8,,
51-100,51-100,York University,Canada,67.2,47.5,86.8,76.6,,
101-150,151-200,Aarhus University,Denmark,60.9,61,82.5,74.6,,
101-150,,Abai Kazakh National Pedagogical University,Kazakhstan,68,65.2,51.3,33,,
101-150,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,62.9,65.2,73.8,54.8,,
101-150,151-200,Alma Mater Studiorum - University of Bologna,Italy,60.3,83.4,64,57,,
101-150,151-200,Ca' Foscari University of Venice ,Italy,63.3,66.1,59.8,49.5,,
101-150,151-200,Charles University,Czech Republic,60.4,66.5,66.3,62.8,,
101-150,151-200,CUNY The City College of New York,United States,62.5,44.9,80.6,70,,
101-150,101-150,Duke University,United States,57.4,73,86.8,80.9,,
101-150,101-150,Erasmus University Rotterdam ,Netherlands,61,57.8,82.3,65.9,,
101-150,101-150,"Essex, University of",United Kingdom,59.8,48.1,82.3,64.4,,
101-150,101-150,Immanuel Kant Baltic Federal University,Russia,68.2,58.5,54.7,42.6,,
101-150,201-210,Jagiellonian University,Poland,61.1,60.8,65.2,59.1,,
101-150,151-200,Jawaharlal Nehru University,India,66.8,74.9,42.8,38.3,,
101-150,,Leibniz University Hannover,Germany,62.1,55.2,73.4,62.8,,
101-150,101-150,Leiden University,Netherlands,60.7,54,74.3,70,,
101-150,151-200,Lund University,Sweden,58.4,69.4,82.9,71.2,,
101-150,101-150,"Nanyang Technological University, Singapore (NTU)",Singapore,60,85.1,83.5,65.9,,
101-150,151-200,National Taiwan University (NTU),Taiwan,66.9,77.5,50.3,46.3,,
101-150,51-100,Northwestern University,United States,60.9,70.2,83.3,67.4,,
101-150,101-150,Pontificia Universidad Católica de Chile (UC),Chile,63.1,86.5,66.5,57,,
101-150,101-150,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,59.7,63.4,76,52.3,,
101-150,101-150,RUDN University,Russia,57.7,82.5,74.1,62.8,,
101-150,101-150,Saint Petersburg State University,Russia,63.9,86.7,57.4,54.8,,
101-150,151-200,Sciences Po ,France,62.1,66.2,76.8,49.5,,
101-150,101-150,Stockholm University,Sweden,59.6,55.5,81.7,73.5,,
101-150,151-200,The University of Auckland,New Zealand,57.1,80.5,84.8,73.5,,
101-150,101-150,The University of Hong Kong,Hong Kong SAR,56.7,82.7,79.4,65.9,,
101-150,101-150,The University of Manchester,United Kingdom,58.1,77.2,86.8,78.4,,
101-150,101-150,The University of Western Australia,Australia,58.9,78.3,88.3,75.6,,
101-150,151-200,Tilburg University,Netherlands,59.8,42,89.4,75.6,,
101-150,51-100,Tsinghua University,China (Mainland),60.3,85.8,69.4,62.8,,
101-150,101-150,Universidad de Buenos Aires (UBA),Argentina,62,84.2,64.7,64.4,,
101-150,,Universidad de Chile,Chile,61.2,83.5,58.3,49.5,,
101-150,151-200,Universidad de los Andes - Chile,Chile,60.5,82.1,60.8,54.8,,
101-150,151-200,Universität Jena,Germany,62.8,37.8,75.5,57,,
101-150,151-200,Université Grenoble Alpes,France,62.7,47.2,72,61,,
101-150,101-150,University of Aberdeen,United Kingdom,64.6,62.3,66.4,57,,
101-150,101-150,University of Birmingham,United Kingdom,53.5,70.4,90,83.2,,
101-150,151-200,University of Calgary,Canada,57.9,63.2,77.5,65.9,,
101-150,51-100,"University of California, Los Angeles (UCLA)",United States,57.7,89.5,84.8,73.5,,
101-150,101-150,"University of California, San Diego (UCSD)",United States,59.1,57.8,87.9,79.2,,
101-150,101-150,University of Cologne,Germany,61.2,48.9,80.8,67.4,,
101-150,101-150,University of Pennsylvania,United States,56.4,71.5,87.9,80.1,,
101-150,51-100,University of Southampton,United Kingdom,58.5,54.6,94.5,84.6,,
101-150,101-150,University of Virginia,United States,60,64.6,83.7,78.4,,
101-150,101-150,University of Wisconsin-Madison,United States,57.8,69.3,81.2,73.5,,
101-150,101-150,University of York,United Kingdom,60.6,55.8,82.8,74.6,,
101-150,151-200,Uppsala University,Sweden,58.3,40.1,81.3,76.6,,
101-150,151-200,Westfälische Wilhelms-Universität Münster ,Germany,59.3,54.7,76.6,62.8,,
151-200,101-150,Al-Farabi Kazakh National University,Kazakhstan,61.6,84.9,59.8,38.3,,
151-200,101-150,Bielefeld University,Germany,59.6,28.5,78,67.4,,
151-200,151-200,Catholic University of America,United States,62,43.3,61.9,54.8,,
151-200,151-200,Complutense University of Madrid,Spain,58,68.3,62.9,59.1,,
151-200,151-200,École Normale Supérieure de Lyon,France,61.2,66.9,56.1,46.3,,
151-200,46=,Fudan University,China (Mainland),62,80.1,55.4,38.3,,
151-200,,Ghent University,Belgium,56.9,62,80.9,68.7,,
151-200,,Jadavpur University,India,62.6,50.5,70.8,38.3,,
151-200,,Julius-Maximilians-Universität Würzburg,Germany,62.5,41.6,60.8,46.3,,
151-200,151-200,Karl-Franzens-Universitaet Graz,Austria,54.4,54.2,86.8,75.6,,
151-200,151-200,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,61,74.4,63.4,42.6,,
151-200,,Osaka University,Japan,60.2,64.3,57.2,46.3,,
151-200,,Queen's University Belfast,United Kingdom,56.1,58.2,71,57,,
151-200,,Radboud University ,Netherlands,54.4,41.4,79.5,71.2,,
151-200,51-100,Renmin (People's) University of China,China (Mainland),62.2,70.1,48.6,38.3,,
151-200,151-200,Russian State University for the Humanities ,Russia,60.9,55.3,52.1,42.6,,
151-200,151-200,Rutgers University–Newark,United States,59,58.4,70.9,59.1,,
151-200,151-200,Scuola Normale Superiore di Pisa,Italy,60.9,61.8,67.9,26.1,,
151-200,201-210,Shanghai Jiao Tong University,China (Mainland),60.8,75.3,51.6,42.6,,
151-200,151-200,Simon Fraser University,Canada,52.3,75.7,81.9,68.7,,
151-200,50,Sun Yat-sen University,China (Mainland),57.6,53.4,74.6,62.8,,
151-200,101-150,The University of Arizona,United States,53.5,76.9,83.7,73.5,,
151-200,151-200,Universidad Alberto Hurtado,Chile,59.4,79,63.3,57,,
151-200,151-200,Universidad Autónoma de Madrid,Spain,57,74.1,63.2,52.3,,
151-200,151-200,Universidad de los Andes,Colombia,58.2,77.8,72.8,54.8,,
151-200,101-150,Universidad Nacional de Colombia,Colombia,58.2,77,68.7,54.8,,
151-200,,Universidad Nacional de La Plata (UNLP),Argentina,59,69.1,63.8,46.3,,
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,57.3,72.2,71.3,62.8,,
151-200,,Universidade Federal de Minas Gerais      ,Brazil,60.4,62.2,62.7,49.5,,
151-200,151-200,Università degli studi Roma Tre,Italy,58.4,66.3,68.7,57,,
151-200,101-150,Università Cattolica del Sacro Cuore,Italy,57.3,82.1,69.5,59.1,,
151-200,151-200,Università di Padova,Italy,56.4,66.7,66.6,64.4,,
151-200,151-200,Universität Konstanz,Germany,59.5,15.7,81.6,68.7,,
151-200,101-150,Universitat Pompeu Fabra (Barcelona),Spain,57.7,62.2,80.8,61,,
151-200,101-150,Université de Fribourg,Switzerland,61.9,0,71.3,59.1,,
151-200,151-200,University at Buffalo SUNY,United States,55.2,67.1,76.5,61,,
151-200,,University College Cork,Ireland,54.9,57.2,76.7,62.8,,
151-200,151-200,University of Basel,Switzerland,54.3,55.2,83.9,70,,
151-200,101-150,University of British Columbia,Canada,54.8,75.1,78.6,73.5,,
151-200,151-200,University of Connecticut,United States,52.6,38.4,91,76.6,,
151-200,151-200,University of Delhi,India,62.1,78.4,59.3,42.6,,
151-200,,University of Gothenburg,Sweden,53.4,53,87.7,77.5,,
151-200,201-210,University of Göttingen,Germany,56.6,64.4,73.7,57,,
151-200,201-210,University of Lisbon ,Portugal,56.6,38.9,74.2,65.9,,
151-200,,University of Liverpool,United Kingdom,53.4,66.2,86.7,72.4,,
151-200,151-200,University of Stirling,United Kingdom,57.1,54.7,76,61,,
151-200,,University of Utah,United States,53.9,49.3,85.8,71.2,,
151-200,,Victoria University of Wellington,New Zealand,51.5,74.3,84.2,72.4,,
151-200,101-150,Washington University in St. Louis,United States,53.4,68.4,84.6,73.5,,
151-200,51-100,Zhejiang University,China (Mainland),57.2,78.3,64.6,46.3,,
201-210,51-100,East China Normal University,China (Mainland),54.5,47.5,73.5,61,,
201-210,151-200,Emory University,United States,52.8,40,82.1,68.7,,
201-210,,Fu Jen Catholic University,Taiwan,68.3,39.8,18.9,26.1,,
201-210,101-150,"Lingnan University, Hong Kong",Hong Kong SAR,54.5,50.9,74.2,59.1,,
201-210,,Pontificia Universidad Javeriana,Colombia,62,67.2,41.6,33,,
201-210,,Universidad Austral,Argentina,60.8,68.9,46,38.3,,
201-210,151-200,Universitat de Valencia,Spain,57.7,34.2,66.4,59.1,,
201-210,151-200,Universität Leipzig,Germany,56.3,50,70.3,59.1,,
201-210,,Université de Strasbourg,France,61.3,35.9,55.2,42.6,,
201-210,201-210,University of Bern,Switzerland,53,30.8,83.3,71.2,,
201-210,201-210,University of Waikato,New Zealand,54.1,53.8,74.5,65.9,,
201-210,201-210,University of Warsaw ,Poland,54.8,64.1,64.5,61,,
201-210,151-200,University of Wollongong,Australia,47.1,67.8,97,83.2,,
