2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,101-150,Universidad de Sevilla,Spain,73.1,56.3,76.5,69.2,,
51-100,51-100,Università di Padova,Italy,72.6,70.9,86.6,81.7,,
51-100,51-100,Universitat Autònoma de Barcelona,Spain,76.5,55.4,82.7,76.1,,
51-100,47=,Universitat de Barcelona,Spain,75.4,62.4,79.1,78.1,,
51-100,51-100,Université PSL,France,69.3,72.6,87.8,94,,
51-100,51-100,University College Dublin,Ireland,71.9,77.3,82.2,60,,
51-100,51-100,University of Aberdeen,United Kingdom,69.8,72.7,88.8,78.1,,
51-100,51-100,University of Amsterdam,Netherlands,73.7,56.2,87.3,71.7,,
51-100,51-100,University of Bordeaux,France,71,55.9,86.4,80,,
51-100,51-100,University of Cologne,Germany,74.2,63.4,82.4,81.7,,
51-100,32  ,University of Florida,United States,73.1,66.6,91.2,86.4,,
51-100,,University of Gothenburg,Sweden,73.3,24.1,96.2,80,,
51-100,51-100,University of Liverpool,United Kingdom,73.5,61.7,90.9,80,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States,77.2,55.8,78.4,63.4,,
51-100,49  ,University of Oslo,Norway,72.6,56,84.9,78.1,,
51-100,51-100,University of Otago,New Zealand,72.4,74.7,85.6,69.2,,
51-100,51-100,University of Pisa,Italy,71.3,90.8,85.9,83.4,,
51-100,51-100,University of Reading,United Kingdom,74.6,57,85.6,78.1,,
51-100,101-150,University of Siena,Italy,71.7,65,88.8,71.7,,
51-100,51-100,University of St Andrews,United Kingdom,69.1,68.1,96.5,71.7,,
51-100,51-100,University of Washington,United States,71.5,61.8,89.5,76.1,,
51-100,51-100,University of Wisconsin-Madison,United States,71.4,77,93.7,71.7,,
51-100,51-100,Uppsala University,Sweden,71.7,41.7,87.9,80,,
101-150,101-150,Boston University,United States,64.1,69,86.2,71.7,,
101-150,101-150,Ca' Foscari University of Venice ,Italy,67.6,86,75,63.4,,
101-150,101-150,Cairo University,Egypt,67.6,67,78.3,60,,
101-150,101-150,Cardiff University,United Kingdom,67.7,62.5,87.5,76.1,,
101-150,,Charles University,Czech Republic,66.5,60,77.1,71.7,,
101-150,51-100,Cornell University,United States,70.3,63.8,82.9,66.4,,
101-150,51-100,Flinders University,Australia,73.9,32.4,81.5,76.1,,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,65.7,55.8,84.8,69.2,,
101-150,101-150,Hokkaido University,Japan,71.6,62.6,65.3,56.1,,
101-150,101-150,James Cook University,Australia,65.8,45.8,94.3,71.7,,
101-150,51-100,Jilin University,China (Mainland),73.4,49.7,67.4,51.7,,
101-150,101-150,King's College London,United Kingdom,68.2,73.4,72.1,56.1,,
101-150,101-150,Lund University,Sweden,66.1,48.9,89.6,76.1,,
101-150,101-150,Macquarie University,Australia,64.9,84.7,80.7,60,,
101-150,,McGill University,Canada,69.3,73.6,67.9,51.7,,
101-150,101-150,"Nanyang Technological University, Singapore (NTU)",Singapore,60.7,77.5,90.9,74,,
101-150,101-150,National and Kapodistrian University of Athens,Greece,67.4,83.2,80.7,66.4,,
101-150,101-150,Northwest University (China),China (Mainland),76.7,0,83.3,63.4,,
101-150,51-100,Northwestern University,United States,71.1,58.4,84.3,69.2,,
101-150,51-100,Queen's University Belfast,United Kingdom,64.7,69.9,100,78.1,,
