2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
77,69=,National Taiwan University (NTU),Taiwan,78.8,72.6,66.4,51,,72.2
78,88  ,University of Nottingham,United Kingdom,71.4,69,83.8,76.6,,72.1
79,74=,University of Texas at Austin,United States,69.6,71.2,86.7,76.6,,72
80,65=,Universidad Carlos III de Madrid (UC3M),Spain,69.3,78.3,73.2,67.2,,71.9
81,74=,Victoria University of Wellington,New Zealand,74.8,66.6,80.1,69.6,,71.8
=82,72=,Universidad Autónoma de Madrid,Spain,71.6,76.5,70.2,62.9,,71.7
=82,92  ,Waseda University,Japan,75.4,74.3,73.1,53.5,,71.7
84,101-150,Pontificia Universidad Católica del Perú,Peru,75.1,76.9,61.6,51,,71.4
=85,98  ,American University,United States,68.5,68.1,90.8,80.5,,71.3
=85,72=,University of Copenhagen,Denmark,72.5,61.1,85.8,82.6,,71.3
=85,81  ,University of Oslo,Norway,75,55.1,86.5,86.3,,71.3
=85,65=,Zhejiang University,China (Mainland),63.9,78.6,87.9,75.7,,71.3
=89,91  ,George Washington University,United States,68.9,65.5,89.1,84.5,,71.2
=89,100  ,"Nanyang Technological University, Singapore (NTU)",Singapore,63.8,82,88.3,68.4,,71.2
91,101-150,Lund University,Sweden,70.7,66.6,83.6,76.6,,71
=92,101-150,Boston University,United States,63.6,72.5,93.9,84.5,,70.9
=92,82=,Shanghai Jiao Tong University,China (Mainland),65.9,76,87.2,71.8,,70.9
=92,86  ,University College Dublin,Ireland,69.2,70.4,82.8,73.8,,70.9
95,93  ,Universite libre de Bruxelles,Belgium,71.6,68.4,83.7,68.4,,70.8
96,65=,Wuhan University,China (Mainland),69.8,69.5,87.1,70.7,,70.7
97,101-150,University of Vienna,Austria,75.2,64.1,74.4,67.2,,70.6
98,101-150,University of Geneva,Switzerland,73.9,63.4,79.3,70.7,,70.5
=99,94=,Universität Hamburg,Germany,77.5,57.4,79.2,69.6,,70.4
=99,101-150,University of Ottawa,Canada,70.6,63.3,86,79,,70.4
101-150,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,79.5,47.6,73.8,61.3,,
101-150,151-200,Central European University,Austria,68.7,59.4,81.8,70.7,,
101-150,101-150,Erasmus University Rotterdam ,Netherlands,63,67.7,88.5,83.3,,
101-150,101-150,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,60.6,77.9,82.3,64.4,,
101-150,76=,Fudan University,China (Mainland),66,80.4,78.7,59.6,,
101-150,151-200,Fundação Getulio Vargas,Brazil,69.6,66.2,78.4,68.4,,
101-150,101-150,Ghent University,Belgium,67.8,59.5,83.3,81.9,,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,75.6,55.6,80.1,73.8,,
101-150,151-200,Griffith University,Australia,64.2,58,87.3,89.5,,
101-150,101-150,HSE University,Russia,63.7,76.1,79.1,62.9,,
101-150,101-150,Instituto Tecnológico Autónomo de México (ITAM),Mexico,71.2,72.1,71.4,62.9,,
101-150,,Johns Hopkins University,United States,65.4,65.7,90.1,76.6,,
101-150,101-150,Keio University,Japan,68.8,72.7,85.8,53.5,,
101-150,101-150,King Abdulaziz University (KAU),Saudi Arabia,67.8,71.1,87.3,68.4,,
101-150,101-150,Korea University,South Korea,62.6,73.3,89.9,65.8,,
101-150,101-150,Macquarie University,Australia,65.5,64.1,86.3,74.8,,
101-150,101-150,Pontificia Universidad Javeriana,Colombia,69,77.2,62.2,48.3,,
101-150,101-150,Queen's University Belfast,United Kingdom,66,66.5,87.5,81.2,,
101-150,101-150,RUDN University,Russia,70.3,75.9,70.6,53.5,,
101-150,101-150,Singapore Management University,Singapore,71.8,65.1,78.2,67.2,,
101-150,151-200,SOAS University of London ,United Kingdom,70.4,57.6,90.8,68.4,,
101-150,101-150,Swansea University,United Kingdom,65.1,61.5,92.4,74.8,,
101-150,101-150,Tecnológico de Monterrey,Mexico,64.8,82.8,69.3,53.5,,
101-150,101-150,The University of Adelaide,Australia,63.5,71.1,84.3,78.2,,
101-150,101-150,The University of Warwick,United Kingdom,63.1,73.7,85.8,79.8,,
101-150,101-150,The University of Western Australia,Australia,62.9,68.6,86.1,76.6,,
101-150,82=,Tilburg University,Netherlands,71,57.7,87.3,86.8,,
101-150,201-250,Universidad Adolfo Ibáñez,Chile,61.3,77.1,80.4,64.4,,
101-150,151-200,Universidad Austral,Argentina,73.1,72.6,65.1,48.3,,
101-150,94=,Universidad del Rosario,Colombia,69.8,74.4,73.6,61.3,,
101-150,101-150,Universidad Nacional de Colombia,Colombia,68.8,77.6,70.4,55.7,,
101-150,101-150,Università Cattolica del Sacro Cuore,Italy,66.5,70.1,81.3,70.7,,
101-150,87  ,Universitat de Barcelona,Spain,69.5,67.5,76.7,72.8,,
101-150,101-150,Universitat Pompeu Fabra (Barcelona),Spain,65.1,63.3,80.9,74.8,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,69.2,65.9,81.1,62.9,,
101-150,101-150,Université de Montréal ,Canada,63,64.3,86.6,82.6,,
101-150,101-150,Universiti Malaya (UM),Malaysia,68.6,68.8,85.3,67.2,,
101-150,101-150,University of Birmingham,United Kingdom,63.2,69.1,85.6,78.2,,
101-150,101-150,"University of California, Davis",United States,64.9,61.6,88.2,79.8,,
101-150,151-200,"University of California, Irvine",United States,63.2,57.8,94.1,92.2,,
101-150,101-150,University of Galway,Ireland,63.5,66.4,91.5,74.8,,
101-150,101-150,University of Helsinki,Finland,71.1,56.3,82.9,80.5,,
101-150,99  ,University of Leeds,United Kingdom,63.3,70.5,87.9,83.9,,
101-150,94=,University of Milan,Italy,75.4,61.6,73.4,69.6,,
101-150,101-150,University of Navarra,Spain,60.8,77.7,84.9,69.6,,
101-150,101-150,University of Notre Dame,United States,67.7,63,81.8,79,,
101-150,101-150,University of Washington,United States,62.2,65.2,92.6,89.5,,
101-150,101-150,University of Zurich,Switzerland,70.8,62.7,85.1,77.4,,
101-150,89=,University Paris 2 Panthéon-Assas,France,83.2,53.8,62.3,57.7,,
101-150,94=,Yonsei University,South Korea,65.7,74.6,79.2,61.3,,
151-200,151-200,Airlangga University,Indonesia,62.1,74.3,58.8,57.7,,
151-200,151-200,Aix-Marseille University,France,76.7,44.6,78.9,62.9,,
151-200,201-250,Al-Farabi Kazakh National University,Kazakhstan,63.2,68.1,73.9,61.3,,
151-200,151-200,Dalhousie University,Canada,68.8,55.6,87.4,74.8,,
151-200,151-200,Fordham University ,United States,65.8,52.4,85.8,81.2,,
151-200,151-200,Kutafin Moscow State Law University,Russia,69.5,62.6,68.7,61.3,,
151-200,201-250,Kyushu University,Japan,67.8,62.5,72.3,53.5,,
151-200,151-200,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,69.4,65.8,65.7,51,,
151-200,151-200,MGIMO University,Russia,63.3,72.6,72.4,61.3,,
151-200,151-200,Michigan State University,United States,55.2,66,89,88.4,,
151-200,201-250,Nagoya University,Japan,72.2,64.4,54.6,48.3,,
151-200,201-250,National Law School of India University,India,71.5,63.8,54.2,45.2,,
151-200,151-200,Pennsylvania State University,United States,56.3,66.2,88.9,87.9,,
151-200,151-200,Pontificia Universidad Católica de Valparaíso,Chile,65.1,66.8,76.2,62.9,,
151-200,151-200,Queen's University at Kingston,Canada,59.3,69.9,82.3,70.7,,
151-200,151-200,Queensland University of Technology (QUT),Australia,57.7,66.4,86.6,83.9,,
151-200,151-200,Saint Petersburg State University,Russia,64.2,71.8,69.3,55.7,,
151-200,101-150,Sorbonne University,France,67.6,72.8,65,45.2,,
151-200,101-150,Stockholm University,Sweden,63.9,60.1,87.1,81.9,,
151-200,151-200,Tel Aviv University,Israel,67.5,50.2,84.7,79.8,,
151-200,101-150,The Hebrew University of Jerusalem,Israel,65.1,50.3,89.3,87.9,,
151-200,101-150,The University of Exeter,United Kingdom,60.4,67.5,84.4,75.7,,
151-200,201-250,"The University of Newcastle, Australia (UON)",Australia,60.4,74,81,65.8,,
