2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
=70,66=,University of Birmingham,United Kingdom,74,76.3,84.1,72.4,69,75.5
72,84=,Universidade de São Paulo,Brazil,71.8,80,78.1,74.9,66.9,75.2
=73,82  ,National Taiwan University (NTU),Taiwan,73.7,74.2,86.5,79.2,52.4,75.1
=73,73=,The Hong Kong University of Science and Technology,Hong Kong SAR,70.6,75.3,94.2,82.2,43.5,75.1
=75,75=,National Taipei University of Technology,Taiwan,90.2,60.5,83.7,68.1,34.6,74.9
=75,84=,The University of Hong Kong,Hong Kong SAR,68.3,78.4,94.5,82.6,38.5,74.9
=75,63=,University of Twente,Netherlands,75.1,72.2,84.2,74,67.7,74.9
78,63=,Politecnico di Torino,Italy,71.4,77.2,82.6,75.8,65,74.8
79,72  ,"University of California, Davis",United States,72.5,73.4,83.8,73.1,76.7,74.5
=80,83  ,The University of Sydney,Australia,68.3,77.9,86.4,77.2,63,74.3
=80,46=,Yonsei University,South Korea,68.1,79,85.1,80.6,53,74.3
=82,99=,University of Groningen,Netherlands,76.2,67,87.2,73.1,71.9,74.2
=82,78  ,University of Nottingham,United Kingdom,68.9,76.1,86.9,76.1,69.4,74.2
=84,55  ,Pohang University of Science And Technology (POSTECH),South Korea,70.3,76.8,90.2,80.9,30.1,74.1
=84,101-150,Université de Strasbourg,France,75.6,62.8,86.4,77.4,90.8,74.1
86,96  ,Indian Institute of Technology Delhi (IITD),India,67.6,83.8,80.1,74,51.3,74
87,68  ,University of Leeds,United Kingdom,68.3,74.9,85.2,78.2,72.7,73.9
=88,93=,Chalmers University of Technology,Sweden,73.8,68.5,86.1,77.2,65.8,73.8
=88,80=,University of Alberta,Canada,73.5,69.2,84.8,79.7,62.5,73.8
90,97=,Norwegian University of Science And Technology,Norway,79.9,61.3,81.4,74.9,75.8,73.7
=91,73=,Carnegie Mellon University,United States,69.4,74.9,90.7,73.1,58,73.6
=91,89=,Universiti Teknologi Malaysia ,Malaysia,71.3,68,83.6,84.6,73.5,73.6
=93,91  ,King Abdulaziz University (KAU),Saudi Arabia,60.1,73.1,94.4,90,86.4,73.3
=93,,Université Paris-Saclay,France,70.6,70.7,81.7,75.5,84.8,73.3
=93,87  ,"University of California, San Diego (UCSD)",United States,64.4,76.1,94.8,79.2,59.1,73.3
=96,84=,Alma Mater Studiorum - University of Bologna,Italy,72.6,74,79.6,70.4,60.4,73
=96,101-150,King Saud University,Saudi Arabia,62.2,73.9,85.9,81.5,100,73
=98,93=,Université PSL,France,70.1,70,85.5,74.3,77.6,72.9
=98,89=,University of Waterloo,Canada,65.4,77.5,89.5,76.9,54.1,72.9
=100,101-150,Indian Institute of Technology Madras (IITM),India,67.1,82.4,77.1,70.4,54.9,72.7
