2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,51-100,"Trinity College Dublin, The University of Dublin",Ireland,73.5,77.5,90.5,82.1,,
51-100,101-150,Universidad Autónoma de Madrid,Spain,70.2,76,78.7,70,,
51-100,51-100,Universidad de Buenos Aires (UBA),Argentina,80.6,78.8,72.8,70,,
51-100,51-100,Universidad de Chile,Chile,74.9,80.3,79.5,71.6,,
51-100,51-100,Universidad de los Andes,Colombia,77,75,78.4,66.3,,
51-100,51-100,Universidade de São Paulo,Brazil,77,73.1,79.7,77.4,,
51-100,51-100,Université PSL,France,72.4,73.7,80.3,79.8,,
51-100,51-100,University College Dublin,Ireland,66.8,72.1,89.7,83.1,,
51-100,51-100,University of Birmingham,United Kingdom,64.4,73.7,89.7,83.1,,
51-100,51-100,University of Bristol,United Kingdom,64,84.1,90.7,85.1,,
51-100,51-100,University of Copenhagen,Denmark,66.6,64.8,89.7,85.1,,
51-100,51-100,University of Geneva,Switzerland,66.5,66.2,93.7,83.1,,
51-100,51-100,University of Glasgow,United Kingdom,72.3,68.8,91.8,86.1,,
51-100,51-100,University of Groningen,Netherlands,67.8,56.6,89.5,79.8,,
51-100,51-100,University of Helsinki,Finland,67.3,57.8,89.3,85.1,,
51-100,51-100,University of Leeds,United Kingdom,69.5,77.7,89.7,83.1,,
51-100,51-100,University of Minnesota Twin Cities,United States,66.4,56.9,95.6,87,,
51-100,51-100,University of Notre Dame,United States,67.8,72.5,87.5,77.4,,
51-100,51-100,University of Washington,United States,66.9,70.9,97.7,82.1,,
51-100,51-100,University of York,United Kingdom,69.9,71.3,89.3,82.1,,
51-100,101-150,University of Zurich,Switzerland,70.9,72.2,91.4,76.1,,
51-100,51-100,Utrecht University,Netherlands,70.6,58.1,91.1,87.9,,
51-100,101-150,Waseda University,Japan,78.7,75.8,72.8,53.7,,
101-150,101-150,Aarhus University,Denmark,61.4,59.8,93.5,82.1,,
101-150,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,66.2,68.9,77.1,68.2,,
101-150,101-150,Emory University,United States,60.3,61,94.4,84.2,,
101-150,101-150,Erasmus University Rotterdam ,Netherlands,62.3,64.4,88.8,77.4,,
101-150,101-150,Ghent University,Belgium,65.1,65.3,86.9,77.4,,
101-150,151-200,Goethe-University Frankfurt am Main,Germany,68.4,56.3,75.3,68.2,,
101-150,101-150,Indiana University Bloomington,United States,62.7,63.1,91.3,82.1,,
101-150,151-200,Keio University,Japan,76.8,70.3,58.1,53.7,,
101-150,201-230,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,69.6,79.5,64.6,53.7,,
101-150,51-100,Northwestern University,United States,62.3,75.9,92.5,82.1,,
101-150,101-150,Osaka University,Japan,75.1,71.9,70.3,56.8,,
101-150,101-150,Pennsylvania State University,United States,58.8,75.5,91.8,79.8,,
101-150,151-200,Pontificia Universidad Católica del Perú,Peru,74.3,70.9,69,59.5,,
101-150,101-150,Renmin (People's) University of China,China (Mainland),68.6,66.6,73.3,61.9,,
101-150,101-150,Rutgers University–New Brunswick,United States,61.4,59.5,89.4,76.1,,
101-150,101-150,Saint Petersburg State University,Russia,67.1,79.2,71.7,77.4,,
101-150,101-150,Stockholm University,Sweden,62,61.2,88.1,77.4,,
101-150,101-150,Sun Yat-sen University,China (Mainland),67,59.7,76.4,64.2,,
101-150,151-200,The University of Adelaide,Australia,61.1,70.6,88,76.1,,
101-150,101-150,The University of Auckland,New Zealand,65.3,76.6,88.2,71.6,,
101-150,51-100,The University of Sheffield,United Kingdom,61.4,72.4,91,82.1,,
101-150,101-150,The University of Western Australia,Australia,60.3,72.3,89.6,78.6,,
101-150,151-200,Tohoku University,Japan,70.5,66.6,68.7,56.8,,
101-150,101-150,Tsinghua University,China (Mainland),74.9,83.8,64.4,46.3,,
101-150,101-150,Universidad Nacional de Colombia,Colombia,70.4,78.1,77.9,64.2,,
101-150,101-150,Universidad Nacional de La Plata (UNLP),Argentina,70.6,68.2,75.1,64.2,,
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,68.6,71.4,80.2,74.7,,
101-150,101-150,Università di Padova,Italy,67.4,71.4,83.7,70,,
101-150,101-150,Universitat Autònoma de Barcelona,Spain,62.7,69.9,82.7,74.7,,
101-150,101-150,Universitat de Barcelona,Spain,66.5,63.2,81,81,,
101-150,101-150,Universität Hamburg,Germany,65.7,73,87.2,76.1,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,67.9,67.8,72.8,64.2,,
101-150,101-150,"University of California, Davis",United States,62.4,73.4,92.4,81,,
101-150,51-100,"University of California, San Diego (UCSD)",United States,62.4,62.5,97.8,78.6,,
101-150,151-200,University of Cologne,Germany,62.8,69.2,81.6,71.6,,
101-150,101-150,University of Florence,Italy,68.6,54.3,79.2,70,,
101-150,101-150,University of Göttingen,Germany,70.8,66.7,81.5,61.9,,
101-150,101-150,University of Illinois at Urbana-Champaign,United States,59.6,72.8,89.4,78.6,,
101-150,151-200,University of Milan,Italy,66.1,70.6,76.3,68.2,,
101-150,101-150,University of Oslo,Norway,65.9,60.5,87.4,81,,
101-150,101-150,University of Southampton,United Kingdom,59.8,64.7,89.3,81,,
