2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,51-100,Satbayev University,Kazakhstan,58.6,53.3,65.6,61.8,,
51-100,,Savitribai Phule Pune University,India,33.4,74.1,78.6,77.1,,
51-100,101-150,Shiraz University,"Iran, Islamic Republic of",44.9,42.2,89,83.9,,
51-100,101-150,Skolkovo Institute of Science and Technology,Russia,41.9,53.3,85.9,75.2,,
51-100,101-150,Technical University of Crete,Greece,44.9,38.7,93.2,75.8,,
51-100,51-100,The American University in Cairo,Egypt,54.1,73.7,79.7,67.1,,
51-100,51-100,The University of Lahore,Pakistan,46.3,53.5,92.2,76.3,,
51-100,51-100,United Arab Emirates University,United Arab Emirates,54.8,66.4,84.2,73.7,,
51-100,,Universidad Central de Venezuela,Venezuela,44.5,64,73.6,59.4,,
51-100,101-150,Universidad Nacional de Ingeniería Peru,Peru,48.4,60.7,69.5,56.8,,
51-100,,Universidade Federal do Ceará (UFC),Brazil,44.7,51.4,85.1,75.5,,
51-100,51-100,Università degli Studi di Perugia,Italy,48.7,42.6,89.4,81.9,,
51-100,51-100,Universiti Putra Malaysia (UPM),Malaysia,60.7,54.5,87.6,85,,
51-100,101-150,Universiti Teknologi Brunei,Brunei,43.1,56.9,81.2,60.6,,
51-100,50  ,Universiti Teknologi Malaysia ,Malaysia,57.6,60.3,85.6,89.3,,
51-100,51-100,University of Aberdeen,United Kingdom,59.7,54.3,90.2,79.4,,
51-100,51-100,University of Baghdad,Iraq,49.1,62.2,78.4,72,,
51-100,101-150,University of Belgrade,Serbia,51.8,35.8,80.4,78.9,,
51-100,51-100,University of Bergen,Norway,66,48.2,88.9,79.6,,
51-100,51-100,University of Houston,United States,49.7,52,92.9,90.6,,
51-100,51-100,University of Kansas,United States,43.8,50.4,87.3,77.7,,
51-100,51-100,University of Pittsburgh,United States,48.4,51.9,93.5,83.5,,
51-100,51-100,University of Sharjah,United Arab Emirates,46.7,67,87.5,79.9,,
51-100,101-150,University of the Punjab,Pakistan,48.4,54.1,85.8,72.7,,
51-100,101-150,University of Zagreb,Croatia,49.9,39.8,80.1,79.4,,
101-150,101-150,Aligarh Muslim University,India,39.3,44.1,88.9,80.1,,
101-150,,Asia Pacific University of Technology and Innovation (APU),Malaysia,37.6,54.6,63.7,53.8,,
101-150,,Azerbaijan State Oil and Industry University,Azerbaijan,42.7,54.2,47.5,39.3,,
101-150,,British University in Egypt,Egypt,31.8,48.4,79.4,61.8,,
101-150,,China University of Petroleum (East China),China (Mainland),38.5,17.1,88.5,90.6,,
101-150,101-150,Chittagong University of Engineering and Technology,Bangladesh,42,47.5,78.2,64.4,,
101-150,,Dnipro Polytechnic National Technical University,Ukraine,42.2,42.1,65.8,48.3,,
101-150,151-160,Edith Cowan University ,Australia,34.2,46.3,96,76.6,,
101-150,,Future University in Egypt,Egypt,29.7,58.8,77.2,60,,
101-150,101-150,"Indian School of Mines (ISM) University, Dhanbad",India,32.1,44,86.7,84.6,,
101-150,101-150,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,44.1,69,55.6,46.1,,
101-150,151-160,Islamic Azad University,"Iran, Islamic Republic of",33.1,35.6,89.2,94.2,,
101-150,,Kazakh-British Technical University,Kazakhstan,45.1,48.7,63.5,48.3,,
101-150,,Mehran University of Engineering & Technology,Pakistan,34.1,41,89.1,69.5,,
101-150,101-150,Mississippi State University,United States,35,45.3,92.4,83.3,,
101-150,101-150,Missouri University of Science and Technology,United States,33,43.1,86.4,81,,
101-150,,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,45.1,57.6,53.2,49.3,,
101-150,101-150,NED University of Engineering and Technology,Pakistan,39.2,53.5,78.2,62.3,,
101-150,101-150,New Mexico Institute of Mining and Technology,United States,29.1,43.2,89.4,73,,
101-150,,Northern Technical university,Iraq,36.1,36.4,78.7,64.4,,
101-150,101-150,Oklahoma State University ,United States,36.7,44.5,86.6,74.6,,
101-150,101-150,"Siberian Federal University, SibFU",Russia,48,48.8,68.2,62.9,,
101-150,,Suranaree University of Technology ,Thailand,35.8,43.2,83.6,69.1,,
101-150,,Tarbiat Modares University,"Iran, Islamic Republic of",36.8,18.6,91.8,86.6,,
101-150,,Tashkent State Technical University,Uzbekistan,46.5,37.6,68.2,53,,
101-150,101-150,UCSI University,Malaysia,44.2,49.2,80.3,60.6,,
101-150,,Universidad Central del Ecuador,Ecuador,41.6,53.4,54.3,46.1,,
101-150,,Universidad del Zulia,Venezuela,41.5,55.1,59.6,44.9,,
101-150,,Universidad Mayor de San Andrés (UMSA),Bolivia,32.3,46.3,72.3,62.3,,
101-150,,Universidad Nacional del Comahue,Argentina,41,40.8,71.3,55.4,,
101-150,,Universidad Veracruzana,Mexico,38.1,46.8,74.3,53.8,,
101-150,,Universidade Federal de Campina Grande,Brazil,41.2,31.2,75,62.9,,
101-150,,Universidade Federal do Pará – UFPA,Brazil,40.1,41.7,80.9,69.9,,
101-150,,Universidade Federal do Rio Grande Do Norte,Brazil,40,31,82.5,71.7,,
101-150,101-150,Universidade Federal Fluminense ,Brazil,38.3,48.8,81.1,69.9,,
101-150,,Université de Tunis El Manar,Tunisia,46.9,30.2,78.3,76.6,,
101-150,101-150,University of Alaska Fairbanks,United States,37.1,35.8,92,78.2,,
101-150,101-150,University of Basrah,Iraq,40.9,51.2,78,61.2,,
101-150,101-150,University of Cyprus (UCY),Cyprus,40.2,42.3,91.1,77.7,,
101-150,,University of Da Nang,Vietnam,35.8,44.6,83.6,62.3,,
101-150,,University of Miskolc ,Hungary,36.9,47.7,73.9,60,,
101-150,101-150,University of Mosul,Iraq,41.4,47.6,74.9,64.4,,
101-150,101-150,University of Petroleum and Energy Studies (UPES),India,38.4,36.3,79.9,68.4,,
101-150,151-160,University of Portsmouth,United Kingdom,25,50.1,91.1,73.7,,
101-150,,University of Regina,Canada,29.5,44.1,87.3,72.7,,
101-150,,University of Stavanger,Norway,35.1,33.8,81.8,74.9,,
101-150,101-150,University of Technology - Iraq,Iraq,29.5,44.7,82.6,74.9,,
101-150,101-150,University of Tulsa,United States,37.4,53.5,84.6,69.1,,
101-150,,University of Wyoming,United States,33.6,29,95.9,82.9,,
101-150,151-160,VSB - Technical University of Ostrava,Czech Republic,40.2,33.2,70.1,69.5,,
151-160,,Australian College of Kuwait,Kuwait,32.6,44.6,69.9,56.8,,
151-160,,Holy Spirit University of Kaslik ,Lebanon,37.7,48.5,61.2,44.9,,
151-160,,Immanuel Kant Baltic Federal University,Russia,40.3,40.7,66.8,51.2,,
151-160,,Irkutsk National Research Technical University,Russia,40.5,44.5,53.4,49.3,,
151-160,,Perm State National Research University,Russia,43.5,33.3,63.4,53.8,,
151-160,,Robert Gordon University,United Kingdom,25.2,43,85.4,64.9,,
151-160,,Universidade do Estado de Santa Catarina,Brazil,36.3,23.2,85,67.5,,
151-160,,Universidade Federal do Amazonas,Brazil,35.4,35.8,79.3,58.8,,
151-160,,University of Dar es Salaam,Tanzania,36.2,34.4,78.5,62.9,,
151-160,,University of Isfahan,"Iran, Islamic Republic of",41.9,14,88,75.2,,
151-160,,Yuri Gagarin State Technical University of Saratov,Russia,34.9,51.8,54.2,44.9,,
