2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,51-100,Universidad Autónoma de Madrid,Spain,72.7,70.4,65.6,66.4,,
51-100,51-100,Universidad de Chile,Chile,73.2,77.4,72.6,73.1,,
51-100,51-100,Universidade Estadual de Campinas (Unicamp),Brazil,79.2,55.3,67.3,73.1,,
51-100,50=,Universidade Federal do Rio de Janeiro,Brazil,76.4,71.6,74.5,81.5,,
51-100,,Universidade Federal do Rio Grande Do Sul ,Brazil,70.8,65.6,69.3,73.1,,
51-100,51-100,Universitat Autònoma de Barcelona,Spain,64.3,71.8,83.3,88,,
51-100,51-100,Universitat de Barcelona,Spain,71.4,61.9,78.8,84.3,,
51-100,51-100,Université PSL,France,66.5,68.8,80,88,,
51-100,51-100,University of Aberdeen,United Kingdom,73.1,55.6,79,75,,
51-100,51-100,University of Bergen,Norway,72.8,50.7,73,78.5,,
51-100,101-150,"University of California, Davis",United States,68.8,44.1,84.8,88,,
51-100,51-100,"University of California, San Diego (UCSD)",United States,67.7,62.7,80.7,81.5,,
51-100,51-100,University of Cape Town,South Africa,73.3,35,78.3,78.5,,
51-100,101-150,University of Delhi,India,75,75.6,55.8,57.6,,
51-100,51-100,University of Hawaiʻi at Mānoa,United States,70.1,76.9,73.2,73.1,,
51-100,51-100,University of Helsinki,Finland,67.3,75.3,82.9,85.6,,
51-100,101-150,University of Illinois at Urbana-Champaign,United States,68.3,52.9,87,85.6,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States,66.8,66.5,86.7,89.1,,
51-100,44  ,University of Oslo,Norway,77.5,63.8,81.2,86.8,,
51-100,51-100,University of St Andrews,United Kingdom,70.6,57.9,74.3,76.8,,
51-100,51-100,University of Washington,United States,74.1,62.6,88.6,94.2,,
51-100,51-100,Utrecht University,Netherlands,69.8,63.4,84.7,89.1,,
101-150,101-150,Aix-Marseille University,France,60.8,55.3,76.6,75,,
101-150,101-150,Al-Farabi Kazakh National University,Kazakhstan,69.4,85.8,27.2,38.4,,
101-150,101-150,Boston University,United States,58.8,70.1,89.3,83,,
101-150,101-150,Ca' Foscari University of Venice ,Italy,66.6,68.5,66.3,53.9,,
101-150,51-100,Central European University,Austria,69.1,51.6,69.5,76.8,,
101-150,101-150,Chulalongkorn University,Thailand,66.5,70.7,57.6,60.8,,
101-150,,Dartmouth College,United States,61.3,65,80,81.5,,
101-150,101-150,Emory University,United States,60.5,47.3,82.9,88,,
101-150,101-150,Fudan University,China (Mainland),61.7,81.9,65.6,63.8,,
101-150,101-150,Indiana University Bloomington,United States,59.5,67,88.5,85.6,,
101-150,,Lomonosov Moscow State University,Russia,69.3,76.2,64.5,66.4,,
101-150,101-150,Pontificia Universidad Católica del Perú,Peru,74.6,62.9,49.9,53.9,,
101-150,101-150,Pontificia Universidad Javeriana,Colombia,68,77.1,45.2,57.6,,
101-150,51-100,The New School,United States,70.4,62.3,64,44.6,,
101-150,101-150,The University of Adelaide,Australia,59.1,77.3,75,80,,
101-150,,The University of Georgia,United States,59.2,43.4,86.4,88,,
101-150,101-150,The University of Sheffield,United Kingdom,64,66.3,80.1,80,,
101-150,101-150,The University of Western Australia,Australia,61.3,67,72.1,73.1,,
101-150,101-150,Universidad de Sevilla,Spain,67.2,60.6,64.1,66.4,,
101-150,101-150,Universidad Nacional de La Plata (UNLP),Argentina,66.5,68.5,69.9,76.8,,
101-150,,Università di Padova,Italy,64.3,77,68.5,71,,
101-150,101-150,Universitas Indonesia,Indonesia,70.1,70.3,60,53.9,,
101-150,,Universität Hamburg,Germany,64.7,44.5,67.8,73.1,,
101-150,,Université catholique de Louvain (UCLouvain),Belgium,67.9,50.3,56.3,49.6,,
101-150,101-150,Université de Montréal ,Canada,63.2,56.7,80.5,80,,
101-150,,University of Alberta,Canada,61.4,59.3,77.6,71,,
101-150,,University of Bern,Switzerland,64.7,53.7,71.1,68.8,,
101-150,101-150,University of Bordeaux,France,60.2,76.6,82.3,78.5,,
101-150,101-150,University of Bristol,United Kingdom,62,63,75.1,78.5,,
101-150,101-150,"University of California, Irvine",United States,65.2,26.1,83.4,84.3,,
101-150,51-100,"University of California, Santa Barbara (UCSB)",United States,68.4,34.3,83.1,85.6,,
101-150,51-100,"University of California, Santa Cruz",United States,67.4,56.5,77.3,84.3,,
101-150,101-150,University of Cologne,Germany,68.5,55.3,76.1,73.1,,
101-150,101-150,University of Colorado Boulder,United States,65,53.9,89.1,93.3,,
101-150,101-150,University of Göttingen,Germany,66.6,56.9,72,76.8,,
101-150,,University of Johannesburg,South Africa,64.8,50.8,78.9,83,,
101-150,101-150,University of Massachusetts Amherst,United States,62.4,71,82.3,81.5,,
101-150,101-150,University of Minnesota Twin Cities,United States,59.3,52.6,84.7,84.3,,
101-150,101-150,University of Notre Dame,United States,59.7,62.5,77,80,,
101-150,51-100,University of Otago,New Zealand,69.7,61.7,73.3,60.8,,
101-150,101-150,University of Pittsburgh,United States,66.3,30,83.5,81.5,,
101-150,101-150,University of Southern California,United States,62.3,60.6,87.8,88,,
101-150,101-150,University of Sussex,United Kingdom,63.9,63.8,85.9,88,,
101-150,,University of Warsaw ,Poland,65.4,65,62.8,60.8,,
101-150,51-100,University of Witwatersrand,South Africa,66.4,41.4,84.4,95.1,,
101-150,51-100,University of Zurich,Switzerland,67.6,50.8,82.4,84.3,,
101-150,101-150,Uppsala University,Sweden,61.3,62.7,74,71,,
101-150,,Waseda University,Japan,67.5,60.4,57.1,60.8,,
101-150,,Washington State University,United States,58.6,70,77.8,81.5,,
101-150,51-100,Yonsei University,South Korea,67.9,78.6,53.6,60.8,,
101-150,101-150,York University,Canada,60.3,71.4,86.9,85.6,,
