2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,51-100,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,66.2,76.1,95.4,78.2,,
51-100,,The Hong Kong University of Science and Technology,Hong Kong SAR,63.7,74.7,95,79.6,,
51-100,,The London School of Economics and Political Science (LSE),United Kingdom,67,76,82.3,61.9,,
51-100,51-100,The University of Auckland,New Zealand,61.5,75,87.4,79.1,,
51-100,51-100,The University of Edinburgh,United Kingdom,66,78.3,87.5,74.5,,
51-100,51-100,The University of Queensland,Australia,63.1,70.1,91.7,84.2,,
51-100,51-100,Universidad de Chile,Chile,63.4,86.6,81.8,69.6,,
51-100,101-150,Universidad de los Andes,Colombia,65.4,83.1,72.6,60,,
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,69.9,89.5,69.8,55.9,,
51-100,51-100,Universita' IUAV di Venezia,Italy,70.9,52.2,74,66,,
51-100,51-100,Universität Stuttgart,Germany,69.6,65,77.7,68.2,,
51-100,101-150,Universiti Malaya (UM),Malaysia,58.7,74.4,94.4,82.2,,
51-100,51-100,Universiti Teknologi Malaysia ,Malaysia,67,76.9,91.6,79.6,,
51-100,51-100,University of Bath,United Kingdom,67.5,69.8,93.1,77.2,,
51-100,51-100,University of Florida,United States,62.2,61.8,90.4,82.2,,
51-100,51-100,University of Illinois at Urbana-Champaign,United States,69.6,62.5,87.3,83.1,,
51-100,51-100,University of Nottingham,United Kingdom,62.5,73.4,90.6,80,,
51-100,101-150,University of Porto,Portugal,64.8,52.9,83.3,79.6,,
51-100,51-100,University of Reading,United Kingdom,62.3,67.8,89.4,69.6,,
51-100,51-100,University of Southern California,United States,63.8,56.3,92.6,75.6,,
51-100,51-100,University of Technology Sydney,Australia,60.7,74,91.7,81.4,,
51-100,51-100,Virginia Polytechnic Institute and State University,United States,61.9,63.5,88.4,80.5,,
51-100,49=,Yonsei University,South Korea,68.3,72.2,86.4,69.6,,
51-100,49=,Zhejiang University,China (Mainland),60.1,88.2,90.4,93.4,,
101-150,101-150,Aalborg University,Denmark,61,45,93.7,81.4,,
101-150,101-150,Aarhus University,Denmark,57.7,56.2,94.6,71.5,,
101-150,101-150,Arizona State University,United States,54.5,72.4,89.1,81.8,,
101-150,51-100,Chongqing University,China (Mainland),58.4,53.4,87.2,87.5,,
