2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
71,54=,The University of Sheffield,United Kingdom,68.5,74.6,86.4,78.7,76.9,74.3
72,81=,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,69.8,71.6,82.2,78.1,95.3,74.2
=73,62=,Loughborough University,United Kingdom,70.8,74.9,85.9,72.4,71.4,74.1
=73,120  ,The Hong Kong Polytechnic University,Hong Kong SAR,68,71.4,94,88.6,52.7,74.1
=75,75  ,Universidad Politécnica de Madrid (UPM),Spain,69.1,77.9,82.2,73.1,71.7,74
=75,52=,Xi’an Jiaotong University,China (Mainland),71.1,64.8,87.3,92.3,72.4,74
77,51  ,University of Southampton,United Kingdom,70.7,71.5,81.8,78.7,81.3,73.9
78,88  ,Kyoto University,Japan,72.7,75.3,81.3,71.7,57.5,73.7
=79,46  ,Pohang University of Science And Technology (POSTECH),South Korea,67.4,77.7,91.2,73.5,53.5,73.5
=79,74  ,"University of California, San Diego (UCSD)",United States,68.2,72.7,92.9,79.5,57.4,73.5
81,106=,Indian Institute of Technology Kharagpur (IIT-KGP),India,70.9,76.4,82.4,75.5,46.9,73.4
=82,62=,The Ohio State University,United States,68,74.1,86.5,80.6,60.2,73.3
=82,72=,University of Twente,Netherlands,73.6,71.3,82.6,72.8,60.3,73.3
84,86  ,Technische Universität Dresden,Germany,71.1,68.7,85.9,77.3,74.5,73.2
=85,81=,Tohoku University,Japan,72.4,71.9,80,76.7,56,72.9
=85,104=,University of Birmingham,United Kingdom,65.1,74.5,89.6,77,74,72.9
=85,91=,University of Pennsylvania,United States,67.4,77.6,92.6,73.1,38.9,72.9
=85,110=,University of Science and Technology of China,China (Mainland),65.5,68.5,93.2,93.7,55.6,72.9
=89,113=,Fudan University,China (Mainland),62.8,74.1,96.2,86.1,53.2,72.8
=89,84=,Virginia Polytechnic Institute and State University,United States,73.8,65.8,84.1,79.5,62.1,72.8
91,96=,Beihang University (former BUAA),China (Mainland),72.4,58.9,85.9,96,65.7,72.7
92,89  ,Technical University of Darmstadt,Germany,75.2,67.7,81.4,72.4,60.1,72.6
=93,101=,Indian Institute of Science,India,74.3,72.1,80.6,70.2,46.9,72.5
=93,94=,Yale University,United States,67.6,85.8,79.5,66,31.4,72.5
95,59=,Université PSL,France,69.4,72.9,85.5,70.2,65.6,72.4
96,98  ,Beijing Institute of Technology,China (Mainland),68.1,64.2,87.6,94.6,60.3,72.3
=97,91=,National Taiwan University (NTU),Taiwan,70.5,75.5,84.1,71,39.4,72.2
=97,96=,Swansea University,United Kingdom,71.2,69.1,88.2,71,62.2,72.2
=97,113=,The University of Queensland,Australia,60.2,74.5,94.1,83.5,71.2,72.2
100,93  ,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,65.8,69.6,95.5,78.7,60,72
=101,121=,Indian Institute of Technology Kanpur (IITK),India,71.3,76.6,78,69.4,34.6,71.7
=101,123  ,National Taipei University of Technology,Taiwan,78.8,68.2,81.9,63.1,32.6,71.7
=103,101=,UCL,United Kingdom,63.7,74.5,87.6,74.8,68.7,71.6
=103,106=,"University of Maryland, College Park",United States,65.1,67.1,90.3,85,71.3,71.6
105,79  ,Lomonosov Moscow State University,Russia,69.7,79.9,66.5,66,61.3,71.5
=106,90  ,Michigan State University,United States,70.2,72.3,81.7,68.6,55,71.3
=106,117=,Technische Universität Wien,Austria,73.3,64.6,79.8,70.6,75.7,71.3
=108,116  ,Columbia University,United States,63.7,75.7,90.1,73.5,46.4,71
=108,83  ,Huazhong University of Science and Technology,China (Mainland),67.9,60.7,88.2,90.9,65.2,71
=108,126  ,The University of Auckland,New Zealand,60.4,74.6,93.2,76.7,64.5,71
111,109  ,University of Leeds,United Kingdom,65.2,70.6,88.6,75.1,63.1,70.9
112,110=,University of Wisconsin-Madison,United States,64.5,72.3,87.4,77,52.9,70.7
113,144  ,City University of Hong Kong,Hong Kong SAR,59.2,69.1,96.7,85.7,68.7,70.6
114,124=,RMIT University,Australia,64.4,67.1,90.5,81.8,61.9,70.5
=115,124=,Alma Mater Studiorum - University of Bologna,Italy,63.6,71.9,84,75.5,68.4,70.4
=115,112  ,King Abdulaziz University (KAU),Saudi Arabia,55.9,68.1,100,87.1,84,70.4
=115,128=,Universiti Malaya (UM),Malaysia,63.2,72.1,89.9,74.2,59.1,70.4
118,115  ,Université de Montréal ,Canada,68.1,70.9,83.6,70.6,49.7,70.3
119,94=,Johns Hopkins University,United States,69.7,66.3,86.3,74.5,44.6,70.1
=120,121=,University of Bath,United Kingdom,67.2,69,88.9,73.1,42.5,70
=120,78  ,Yonsei University,South Korea,60.2,75.7,88.7,75.5,53.2,70
122,128=,Duke University,United States,67.4,71.3,86.4,70.6,36.3,69.8
=123,101=,"Arts et Métiers, ParisTech",France,66.7,66.7,81.4,71,78.7,69.7
=123,151-200,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,61.8,73.8,92.5,77.3,32.5,69.7
=125,87  ,École Centrale de Nantes,France,67.6,65,86.5,70.6,67.5,69.6
=125,137=,Universiti Teknologi Malaysia ,Malaysia,61.5,71.1,86.5,76.4,65.2,69.6
127,117=,Lund University,Sweden,66,67.9,87.2,71.7,57.5,69.5
