core_id,country,city,guide,nid,title,logo,score,rank_display,asia_overall_ranking,europe_overall_ranking,region,stars,recm,dagger,redact,program_type
164,Ireland,Dublin,,294494,"<div class=""td-wrap""><a href=""/universities/dublin-city-university"" class=""uni-link"">Dublin City University</a></div>",/sites/default/files/dublin-city-university_592560cf2aeae70239af4b27_small.jpg,,191-200,,,Europe,,0--,False,False,
335,United Kingdom,"Lancaster,",,294090,"<div class=""td-wrap""><a href=""/universities/lancaster-university"" class=""uni-link"">Lancaster University</a></div>",/sites/default/files/lancaster-university_335_small.jpg,,191-200,,,Europe,5,0--,False,False,
14721,Malaysia,Subang Jaya,,293867,"<div class=""td-wrap""><a href=""/universities/taylors-university"" class=""uni-link"">Taylor's University</a></div>",/sites/default/files/taylors-university_592560cf2aeae70239af57af_small.jpg,,191-200,,,Asia,5,0--,False,False,
504,Spain,Barcelona,,297497,"<div class=""td-wrap""><a href=""/universities/universitat-pompeu-fabra"" class=""uni-link"">Universitat Pompeu Fabra (Barcelona)</a></div>",/sites/default/files/universitat-pompeu-fabra_504_small.jpg,,191-200,,,Europe,,0--,False,False,
347,Ireland,Limerick,,294053,"<div class=""td-wrap""><a href=""/universities/university-limerick"" class=""uni-link"">University of Limerick</a></div>",/sites/default/files/university-of-limerick_592560cf2aeae70239af4be0_small.jpg,,191-200,,,Europe,5,0--,False,False,
458,United States,Notre Dame,,294761,"<div class=""td-wrap""><a href=""/universities/university-notre-dame"" class=""uni-link"">University of Notre Dame</a></div>",/sites/default/files/university-of-notre-dame_458_small.jpg,,191-200,,,North America,,0--,False,False,
540,United States,Tampa,,297480,"<div class=""td-wrap""><a href=""/universities/university-south-florida"" class=""uni-link"">University of South Florida</a></div>",/sites/default/files/Webp.net-resizeimage-90-48x48.jpg,,191-200,,,North America,,0--,False,False,
627,Japan,Tsukuba City,,297234,"<div class=""td-wrap""><a href=""/universities/university-tsukuba"" class=""uni-link"">University of Tsukuba</a></div>",/sites/default/files/university-of-tsukuba_592560cf2aeae70239af4cf7_small.jpg,,191-200,,,Asia,,0--,False,False,
679,South Africa,Johannesburg,,297182,"<div class=""td-wrap""><a href=""/universities/university-witwatersrand"" class=""uni-link"">University of Witwatersrand</a></div>",/sites/default/files/university-of-the-witwatersrand_679_small.jpg,,191-200,,,Africa,,0--,False,False,
417,Canada,Montreal,,294843,"<div class=""td-wrap""><a href=""/universities/universite-de-montreal"" class=""uni-link"">Université de Montréal </a></div>",/sites/default/files/universit-de-montral_417_small.jpg,,191-200,,,North America,,0--,False,False,
2146,Kazakhstan,Almaty,,295109,"<div class=""td-wrap""><a href=""/universities/al-farabi-kazakh-national-university"" class=""uni-link"">Al-Farabi Kazakh National University</a></div>",/sites/default/files/al-farabi-kazakh-national-university_2146_small.jpg,,201-250,,,Asia,5,0--,False,False,
29,United Kingdom,Birmingham,,294627,"<div class=""td-wrap""><a href=""/universities/aston-university"" class=""uni-link"">Aston University</a></div>",/sites/default/files/230327021046pm745483Aston-Uni-Logo-Purple-RGB-min-48x48.jpg,,201-250,,,Europe,,0--,False,False,
1575,Turkey,Istanbul,,297652,"<div class=""td-wrap""><a href=""/universities/bogazici-universitesi"" class=""uni-link"">Bogaziçi Üniversitesi</a></div>",/sites/default/files/bogazii-niversitesi_1575_small.jpg,,201-250,,,Asia,,0--,False,False,
71,Czechia,Brno,,294585,"<div class=""td-wrap""><a href=""/universities/brno-university-technology"" class=""uni-link"">Brno University of Technology</a></div>",/sites/default/files/brno-university-of-technology_592560cf2aeae70239af4aca_small.jpg,,201-250,,,Europe,,0--,False,False,
150,Australia,Perth,,294507,"<div class=""td-wrap""><a href=""/universities/curtin-university"" class=""uni-link"">Curtin University</a></div>",/sites/default/files/curtin-university_150_small.jpg,,201-250,,,Oceania,6,0--,False,False,
223,United States,Washington D.C.,,294358,"<div class=""td-wrap""><a href=""/universities/george-washington-university"" class=""uni-link"">George Washington University</a></div>",/sites/default/files/george-washington-university_223_small.jpg,,201-250,,,North America,,0--,False,False,
2152,Russia,Moscow,,295115,"<div class=""td-wrap""><a href=""/universities/hse-university"" class=""uni-link"">HSE University</a></div>",/sites/default/files/220303011024pm152717HSE-logo-48x48.jpg,,201-250,,,Europe,,0--,False,True,
264,Japan,Higashihiroshima City,,294260,"<div class=""td-wrap""><a href=""/universities/hiroshima-university"" class=""uni-link"">Hiroshima University</a></div>",/sites/default/files/hiroshima-university_264_small.jpg,,201-250,,,Asia,,0--,False,False,
272,Germany,Berlin,,294252,"<div class=""td-wrap""><a href=""/universities/humboldt-universitat-zu-berlin"" class=""uni-link"">Humboldt-Universität zu Berlin</a></div>",/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg,,201-250,,,Europe,,0--,False,False,
285,India,Kharagpur,,294239,"<div class=""td-wrap""><a href=""/universities/indian-institute-technology-kharagpur-iit-kgp"" class=""uni-link"">Indian Institute of Technology Kharagpur (IIT-KGP)</a></div>",/sites/default/files/indian-institute-of-technology-kharagpur-iit-kgp_285_small.jpg,,201-250,,,Asia,,0--,False,False,
300,Poland,Krakow,,294196,"<div class=""td-wrap""><a href=""/universities/jagiellonian-university"" class=""uni-link"">Jagiellonian University</a></div>",/sites/default/files/jagiellonian-university_300_small.jpg,,201-250,,,Europe,,0--,False,False,
2156,Russia,Moscow,,295119,"<div class=""td-wrap""><a href=""/universities/mgimo-university"" class=""uni-link"">MGIMO University</a></div>",/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,,201-250,,,Europe,,0--,False,True,
590,Taiwan,Taipei City,,297271,"<div class=""td-wrap""><a href=""/universities/national-taiwan-university-science-technology-taiwan-tech"" class=""uni-link"">National Taiwan University of Science and Technology (Taiwan Tech)</a></div>",/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_small.jpg,,201-250,,,Asia,,0--,False,False,
32,Greece,Athens,,294624,"<div class=""td-wrap""><a href=""/universities/national-technical-university-athens"" class=""uni-link"">National Technical University of Athens</a></div>",/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg,,201-250,,,Europe,,0--,False,False,
454,United States,Boston,,294773,"<div class=""td-wrap""><a href=""/universities/northeastern-university"" class=""uni-link"">Northeastern University</a></div>",/sites/default/files/northeastern-university_454_small.jpg,,201-250,,,North America,,0--,False,False,
502,South Korea,Pohang ,,297501,"<div class=""td-wrap""><a href=""/universities/pohang-university-science-technology-postech"" class=""uni-link"">Pohang University of Science And Technology (POSTECH)</a></div>",/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,,201-250,,,Asia,,0--,False,False,
108,Peru,Lima,,294548,"<div class=""td-wrap""><a href=""/universities/pontificia-universidad-catlica-del"" class=""uni-link"">Pontificia Universidad Catolica del Peru</a></div>",/sites/default/files/210825042529am231772Isotipo-PUCP-200x200-48x48.jpg,,201-250,,,Latin America,,0--,False,False,
1735,Colombia,Bogotá,,296872,"<div class=""td-wrap""><a href=""/universities/pontificia-universidad-javeriana"" class=""uni-link"">Pontificia Universidad Javeriana</a></div>",/sites/default/files/pontificia-universidad-javeriana_592560cf2aeae70239af514a_small.jpg,,201-250,,,Latin America,,0--,False,False,
359,United Kingdom,London,,294022,"<div class=""td-wrap""><a href=""/universities/queen-mary-university-london"" class=""uni-link"">Queen Mary University of London</a></div>",/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,,201-250,,,Europe,,0--,False,False,
14678,Latvia,Riga,,293864,"<div class=""td-wrap""><a href=""/universities/riga-technical-university"" class=""uni-link"">Riga Technical University</a></div>",/sites/default/files/riga-technical-university_592560cf2aeae70239af578f_small.jpg,,201-250,,,Europe,5,0--,False,False,
527,Japan,Kyoto,,297500,"<div class=""td-wrap""><a href=""/universities/ritsumeikan-university"" class=""uni-link"">Ritsumeikan University</a></div>",/sites/default/files/ritsumeikan-university_592560cf2aeae70239af4c92_small.jpg,,201-250,,,Asia,,0--,False,False,
555,China (Mainland),Jinan,,297386,"<div class=""td-wrap""><a href=""/universities/shandong-university"" class=""uni-link"">Shandong University</a></div>",/sites/default/files/shandong-university_555_small.jpg,,201-250,,,Asia,,0--,False,False,
583,United States,Stony Brook,,297276,"<div class=""td-wrap""><a href=""/universities/stony-brook-university-state-university-new-york"" class=""uni-link"">Stony Brook University, State University of New York</a></div>",/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,,201-250,,,North America,,0--,False,False,
888,China (Mainland),Guangzhou,,296998,"<div class=""td-wrap""><a href=""/universities/sun-yat-sen-university"" class=""uni-link"">Sun Yat-sen University</a></div>",/sites/default/files/sun-yat-sen-university_888_small.jpg,,201-250,,,Asia,,0--,False,False,
598,Germany,Dresden,,297263,"<div class=""td-wrap""><a href=""/universities/technische-universitat-dresden"" class=""uni-link"">Technische Universität Dresden</a></div>",/sites/default/files/technische-universitt-dresden_598_small.jpg,,201-250,,,Europe,,0--,False,False,
36,Egypt,Cairo,,294620,"<div class=""td-wrap""><a href=""/universities/american-university-cairo"" class=""uni-link"">The American University in Cairo</a></div>",/sites/default/files/the-american-university-in-cairo_36_small.jpg,,201-250,,,Africa,,0--,False,False,
22084,Malaysia,Kuala Lumpur,,295828,"<div class=""td-wrap""><a href=""/universities/ucsi-university"" class=""uni-link"">UCSI University</a></div>",/sites/default/files/ucsi-university_592560e09988f300e2320ce5_small.jpg,,201-250,,,Asia,,0--,False,False,
460,Portugal,Lisbon,,294754,"<div class=""td-wrap""><a href=""/universities/universidade-nova-de-lisboa"" class=""uni-link"">Universidade Nova de Lisboa</a></div>",/sites/default/files/universidade-nova-de-lisboa_460_small.jpg,,201-250,,,Europe,,0--,False,False,
648,Spain,València,,297213,"<div class=""td-wrap""><a href=""/universities/universitat-politecnica-de-valencia"" class=""uni-link"">Universitat Politecnica de Valencia</a></div>",/sites/default/files/universitat-politcnica-de-valncia_648_small.jpg,,201-250,,,Europe,5,0--,False,False,
647,Spain,València,,297214,"<div class=""td-wrap""><a href=""/universities/universitat-de-valencia"" class=""uni-link"">Universitat de Valencia</a></div>",/sites/default/files/universitat-de-valencia_647_small.jpg,,201-250,,,Europe,,0--,False,False,
75,Belgium,Brussels,,294581,"<div class=""td-wrap""><a href=""/universities/universite-libre-de-bruxelles"" class=""uni-link"">Universite libre de Bruxelles</a></div>",/sites/default/files/universite-libre-de-bruxelles_75_small.jpg,,201-250,,,Europe,,0--,False,False,
1983,Malaysia,Kampar,,294953,"<div class=""td-wrap""><a href=""/universities/universiti-tunku-abdul-rahman-utar"" class=""uni-link"">Universiti Tunku Abdul Rahman (UTAR)</a></div>",/sites/default/files/universiti-tunku-abdul-rahman-utar_592560cf2aeae70239af5243_small.jpg,,201-250,,,Asia,,0--,False,False,
