2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,101-150,"University of California, Irvine",United States,,,,,,52.8
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States,,,,,,59.8
51-100,51-100,"University of California, Santa Cruz",United States,,,,,,61.3
51-100,51-100,University of Chicago,United States,,,,,,58.7
51-100,,University of Chinese Academy of Sciences,China (Mainland),,,,,,80.8
51-100,51-100,University of Geneva,Switzerland,,,,,,72.9
51-100,51-100,University of Illinois at Urbana-Champaign,United States,,,,,,52.5
51-100,51-100,University of St Andrews,United Kingdom,,,,,,55.4
51-100,51-100,University of Tasmania,Australia,,,,,,58.4
51-100,51-100,University of Vienna,Austria,,,,,,64.5
51-100,51-100,University of Wisconsin-Madison,United States,,,,,,63.6
51-100,51-100,Vrije Universiteit Amsterdam,Netherlands,,,,,,49.5
51-100,51-100,Wuhan University,China (Mainland),,,,,,51.5
101-150,101-150,Aarhus University,Denmark,,,,,,59.2
101-150,101-150,Beijing Normal University ,China (Mainland),,,,,,56.5
101-150,101-150,Cardiff University,United Kingdom,,,,,,56.3
101-150,201-230,China University of Geosciences (Beijing),China (Mainland),,,,,,63.2
101-150,51-100,Colorado School of Mines,United States,,,,,,45.4
101-150,101-150,Duke University,United States,,,,,,47.8
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,,,,,,60.4
101-150,101-150,École Normale Supérieure de Lyon,France,,,,,,61.2
101-150,101-150,Freie Universitaet Berlin,Germany,,,,,,53
101-150,101-150,Goethe-University Frankfurt am Main,Germany,,,,,,55.4
101-150,101-150,Hokkaido University,Japan,,,,,,50.2
101-150,101-150,KU Leuven,Belgium,,,,,,63.7
101-150,51-100,Macquarie University,Australia,,,,,,65.2
101-150,101-150,Michigan State University,United States,,,,,,56.3
101-150,101-150,Nagoya University,Japan,,,,,,67.8
101-150,101-150,National Taiwan University (NTU),Taiwan,,,,,,49.9
101-150,101-150,Northwestern University,United States,,,,,,50.3
101-150,51-100,Oregon State University,United States,,,,,,52.3
101-150,101-150,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,67.4
101-150,51-100,Ruprecht-Karls-Universität Heidelberg,Germany,,,,,,69
101-150,51-100,Seoul National University,South Korea,,,,,,54.4
101-150,101-150,Sun Yat-sen University,China (Mainland),,,,,,56.1
101-150,101-150,Technical University of Munich,Germany,,,,,,56.3
101-150,151-200,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,29.2
101-150,51-100,The Ohio State University,United States,,,,,,60
101-150,101-150,The University of Auckland,New Zealand,,,,,,47.1
101-150,101-150,Tohoku University,Japan,,,,,,60.4
