2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
101-150,,Azerbaijan State Oil and Industry University,Azerbaijan,,,,,,
101-150,,British University in Egypt,Egypt,,,,,,
101-150,,China University of Petroleum (East China),China (Mainland),,,,,,
101-150,101-150,Chittagong University of Engineering and Technology,Bangladesh,,,,,,
101-150,,Dnipro Polytechnic National Technical University,Ukraine,,,,,,
101-150,151-160,Edith Cowan University ,Australia,,,,,,
101-150,,Future University in Egypt,Egypt,,,,,,
101-150,101-150,"Indian School of Mines (ISM) University, Dhanbad",India,,,,,,
101-150,101-150,Instituto Tecnológico de Buenos Aires (ITBA),Argentina,,,,,,
101-150,151-160,Islamic Azad University,"Iran, Islamic Republic of",,,,,,
101-150,,Kazakh-British Technical University,Kazakhstan,,,,,,
101-150,,Mehran University of Engineering & Technology,Pakistan,,,,,,
101-150,101-150,Mississippi State University,United States,,,,,,
101-150,101-150,Missouri University of Science and Technology,United States,,,,,,
101-150,,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,,,,,,
101-150,101-150,NED University of Engineering and Technology,Pakistan,,,,,,
101-150,101-150,New Mexico Institute of Mining and Technology,United States,,,,,,
101-150,,Northern Technical university,Iraq,,,,,,
101-150,101-150,Oklahoma State University ,United States,,,,,,
101-150,101-150,"Siberian Federal University, SibFU",Russia,,,,,,
101-150,,Suranaree University of Technology ,Thailand,,,,,,
101-150,,Tarbiat Modares University,"Iran, Islamic Republic of",,,,,,
101-150,,Tashkent State Technical University,Uzbekistan,,,,,,
101-150,101-150,UCSI University,Malaysia,,,,,,
101-150,,Universidad Central del Ecuador,Ecuador,,,,,,
101-150,,Universidad del Zulia,Venezuela,,,,,,
101-150,,Universidad Mayor de San Andrés (UMSA),Bolivia,,,,,,
101-150,,Universidad Nacional del Comahue,Argentina,,,,,,
101-150,,Universidad Veracruzana,Mexico,,,,,,
101-150,,Universidade Federal de Campina Grande,Brazil,,,,,,
101-150,,Universidade Federal do Pará – UFPA,Brazil,,,,,,
101-150,,Universidade Federal do Rio Grande Do Norte,Brazil,,,,,,
101-150,101-150,Universidade Federal Fluminense ,Brazil,,,,,,
101-150,,Université de Tunis El Manar,Tunisia,,,,,,
101-150,101-150,University of Alaska Fairbanks,United States,,,,,,
101-150,101-150,University of Basrah,Iraq,,,,,,
101-150,101-150,University of Cyprus (UCY),Cyprus,,,,,,
101-150,,University of Da Nang,Vietnam,,,,,,
101-150,,University of Miskolc ,Hungary,,,,,,
101-150,101-150,University of Mosul,Iraq,,,,,,
101-150,101-150,University of Petroleum and Energy Studies (UPES),India,,,,,,
101-150,151-160,University of Portsmouth,United Kingdom,,,,,,
101-150,,University of Regina,Canada,,,,,,
101-150,,University of Stavanger,Norway,,,,,,
101-150,101-150,University of Technology - Iraq,Iraq,,,,,,
101-150,101-150,University of Tulsa,United States,,,,,,
101-150,,University of Wyoming,United States,,,,,,
101-150,151-160,VSB - Technical University of Ostrava,Czech Republic,,,,,,
151-160,,Australian College of Kuwait,Kuwait,,,,,,
151-160,,Holy Spirit University of Kaslik ,Lebanon,,,,,,
151-160,,Immanuel Kant Baltic Federal University,Russia,,,,,,
151-160,,Irkutsk National Research Technical University,Russia,,,,,,
151-160,,Perm State National Research University,Russia,,,,,,
151-160,,Robert Gordon University,United Kingdom,,,,,,
151-160,,Universidade do Estado de Santa Catarina,Brazil,,,,,,
151-160,,Universidade Federal do Amazonas,Brazil,,,,,,
151-160,,University of Dar es Salaam,Tanzania,,,,,,
151-160,,University of Isfahan,"Iran, Islamic Republic of",,,,,,
151-160,,Yuri Gagarin State Technical University of Saratov,Russia,,,,,,
