2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
94,82=,RMIT University,Australia,,,,,75.4,73.6
=95,85=,Sorbonne University,France,,,,,85.3,73.5
=95,87=,Université Grenoble Alpes,France,,,,,96.9,73.5
=97,95=,Swansea University,United Kingdom,,,,,77.6,73.4
=97,101-150,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,52.3,73.4
=97,80=,University of Science and Technology Beijing,China (Mainland),,,,,60.7,73.4
=100,65  ,Korea University,South Korea,,,,,55.3,73.3
=100,101-150,Universiti Malaya (UM),Malaysia,,,,,84.3,73.3
101-150,80=,Aalto University,Finland,,,,,,86.4
101-150,101-150,Beihang University (former BUAA),China (Mainland),,,,,,60.5
101-150,101-150,Beijing Institute of Technology,China (Mainland),,,,,,56.8
101-150,95=,"Grenoble INP, Grenoble Institute of Technology",France,,,,,,80.8
101-150,101-150,Huazhong University of Science and Technology,China (Mainland),,,,,,67.4
101-150,101-150,Indian Institute of Technology Kanpur (IITK),India,,,,,,46.9
101-150,101-150,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,63.9
101-150,101-150,Indian Institute of Technology Madras (IITM),India,,,,,,61.2
101-150,101-150,Institut National des Sciences Appliquées de Lyon (INSA),France,,,,,,78
101-150,101-150,Institut Polytechnique de Paris,France,,,,,,77.1
101-150,101-150,Johns Hopkins University,United States,,,,,,63.6
101-150,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,,,,,,75.2
101-150,101-150,King Saud University,Saudi Arabia,,,,,,100
101-150,101-150,Kyushu University,Japan,,,,,,67.5
101-150,101-150,Ludwig-Maximilians-Universität München,Germany,,,,,,63.6
101-150,101-150,Lund University,Sweden,,,,,,75.5
101-150,97  ,National Taipei University of Technology,Taiwan,,,,,,34.4
101-150,101-150,National Tsing Hua University,Taiwan,,,,,,60.9
101-150,101-150,North Carolina State University,United States,,,,,,54.3
101-150,151-200,Queensland University of Technology (QUT),Australia,,,,,,61.4
101-150,101-150,Sapienza University of Rome,Italy,,,,,,72.9
101-150,151-200,South China University of Technology,China (Mainland),,,,,,56.2
101-150,101-150,Technical University of Darmstadt,Germany,,,,,,70.7
101-150,101-150,Technische Universität Wien,Austria,,,,,,76.2
101-150,99  ,The Australian National University,Australia,,,,,,63
101-150,101-150,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,34.2
101-150,101-150,The University of Adelaide,Australia,,,,,,64.1
101-150,101-150,The University of Edinburgh,United Kingdom,,,,,,65.2
101-150,151-200,Tianjin University,China (Mainland),,,,,,65.8
101-150,,Ulsan National Institute of Science and Technology (UNIST),South Korea,,,,,,44.9
101-150,101-150,Universidad Autónoma de Madrid,Spain,,,,,,78.8
101-150,101-150,Universidade de São Paulo,Brazil,,,,,,69.6
101-150,101-150,Universitat de Barcelona,Spain,,,,,,78.1
101-150,101-150,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,,,,,,85.1
101-150,151-200,Université de Montréal ,Canada,,,,,,61.4
101-150,101-150,Université de Strasbourg,France,,,,,,85.7
101-150,151-200,University of Alberta,Canada,,,,,,64.7
