2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
47,37=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,70.8
48,40=,Catholic University of America,United States,,,,,,70.4
49,51-100,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,70.1
50,51-100,Leiden University,Netherlands,,,,,,69.8
51-100,51-100,Aarhus University,Denmark,,,,,,
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,,,,,,
51-100,51-100,Ankara Üniversitesi,Turkey,,,,,,
51-100,51-100,Baylor University,United States,,,,,,
51-100,101-140,Brown University,United States,,,,,,
51-100,51-100,Claremont Graduate University,United States,,,,,,
51-100,51-100,Columbia University,United States,,,,,,
51-100,101-140,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,,,,,,
51-100,49  ,Fordham University ,United States,,,,,,
51-100,51-100,Freie Universitaet Berlin,Germany,,,,,,
51-100,51-100,Gadjah Mada University,Indonesia,,,,,,
51-100,51-100,International Islamic University Islamabad (IIU),Pakistan,,,,,,
51-100,51-100,Johns Hopkins University,United States,,,,,,
51-100,,King Saud University,Saudi Arabia,,,,,,
51-100,,Kyoto University,Japan,,,,,,
51-100,51-100,Lund University,Sweden,,,,,,
51-100,,Macquarie University,Australia,,,,,,
51-100,46  ,McGill University,Canada,,,,,,
51-100,101-140,Monash University,Australia,,,,,,
51-100,51-100,New York University (NYU),United States,,,,,,
51-100,51-100,Pontificia Universidad Católica Argentina,Argentina,,,,,,
51-100,,Pontificia Universidad Católica del Perú,Peru,,,,,,
51-100,101-140,Pontificia Universidad Javeriana,Colombia,,,,,,
51-100,51-100,Sapienza University of Rome,Italy,,,,,,
51-100,51-100,SOAS University of London ,United Kingdom,,,,,,
51-100,101-140,"Sofia University ""St. Kliment Ohridski""",Bulgaria,,,,,,
51-100,37=,Tel Aviv University,Israel,,,,,,
51-100,,The Australian National University,Australia,,,,,,
51-100,51-100,The University of Exeter,United Kingdom,,,,,,
51-100,51-100,The University of Manchester,United Kingdom,,,,,,
51-100,51-100,The University of Melbourne,Australia,,,,,,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,,,,,,
51-100,51-100,Universität Hamburg,Germany,,,,,,
51-100,51-100,Université de Strasbourg,France,,,,,,
51-100,51-100,Université PSL,France,,,,,,
51-100,51-100,University of Amsterdam,Netherlands,,,,,,
51-100,51-100,University of British Columbia,Canada,,,,,,
51-100,47=,"University of California, Los Angeles (UCLA)",United States,,,,,,
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States,,,,,,
51-100,51-100,University of Copenhagen,Denmark,,,,,,
51-100,51-100,University of Groningen,Netherlands,,,,,,
51-100,51-100,University of Michigan-Ann Arbor,United States,,,,,,
51-100,51-100,University of Otago,New Zealand,,,,,,
51-100,51-100,University of Ottawa,Canada,,,,,,
51-100,51-100,University of Texas at Austin,United States,,,,,,
51-100,51-100,University of Turin,Italy,,,,,,
51-100,51-100,University of Virginia,United States,,,,,,
51-100,51-100,University of Washington,United States,,,,,,
51-100,51-100,Uppsala University,Sweden,,,,,,
51-100,101-140,Victoria University of Wellington,New Zealand,,,,,,
101-140,101-140,Albert-Ludwigs-Universitaet Freiburg,Germany,,,,,,
101-140,,Ateneo de Manila University,Philippines,,,,,,
101-140,,Ca' Foscari University of Venice ,Italy,,,,,,
101-140,,Chulalongkorn University,Thailand,,,,,,
101-140,101-140,Complutense University of Madrid,Spain,,,,,,
101-140,,Cornell University,United States,,,,,,
101-140,51-100,Fudan University,China (Mainland),,,,,,
101-140,,Goethe-University Frankfurt am Main,Germany,,,,,,
101-140,101-140,HSE University,Russia,,,,,,
101-140,,Jagiellonian University,Poland,,,,,,
101-140,,Jawaharlal Nehru University,India,,,,,,
101-140,101-140,Lancaster University,United Kingdom,,,,,,
101-140,51-100,McMaster University,Canada,,,,,,
101-140,101-140,National and Kapodistrian University of Athens,Greece,,,,,,
101-140,101-140,Pontifícia Universidade Católica de São Paulo,Brazil,,,,,,
101-140,51-100,Qatar University,Qatar,,,,,,
101-140,101-140,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,
101-140,101-140,Rice University,United States,,,,,,
101-140,51-100,Ruhr-Universität Bochum,Germany,,,,,,
101-140,101-140,Santa Clara University,United States,,,,,,
101-140,45  ,Seoul National University,South Korea,,,,,,
101-140,,State Islamic University (UIN) Syarif Hidayatullah Jakarta,Indonesia,,,,,,
101-140,51-100,Stellenbosch University,South Africa,,,,,,
101-140,101-140,The University of Auckland,New Zealand,,,,,,
101-140,51-100,The University of Hong Kong,Hong Kong SAR,,,,,,
101-140,101-140,The University of Queensland,Australia,,,,,,
101-140,101-140,The University of Warwick,United Kingdom,,,,,,
101-140,101-140,UCL,United Kingdom,,,,,,
101-140,101-140,Universidad de los Andes - Chile,Chile,,,,,,
101-140,,Universitas Indonesia,Indonesia,,,,,,
101-140,51-100,Universität Leipzig,Germany,,,,,,
101-140,101-140,Universiti Kebangsaan Malaysia (UKM),Malaysia,,,,,,
101-140,,Universiti Sains Malaysia (USM),Malaysia,,,,,,
101-140,101-140,University of Alberta,Canada,,,,,,
101-140,101-140,University of Colorado Boulder,United States,,,,,,
101-140,51-100,University of Glasgow,United Kingdom,,,,,,
101-140,51-100,University of Lausanne,Switzerland,,,,,,
101-140,101-140,University of Leeds,United Kingdom,,,,,,
101-140,51-100,"University of North Carolina, Chapel Hill",United States,,,,,,
101-140,,University of Nottingham,United Kingdom,,,,,,
101-140,101-140,University of Pennsylvania,United States,,,,,,
