2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
51-100,51-100,University of Wisconsin-Madison,United States,,,,,,67.7
51-100,51-100,Wuhan University,China (Mainland),,,,,,58.4
101-150,101-150,Aix-Marseille University,France,,,,,,84.1
101-150,101-150,Beijing Normal University ,China (Mainland),,,,,,59.9
101-150,101-150,Cardiff University,United Kingdom,,,,,,60.1
101-150,101-150,China University of Geosciences,China (Mainland),,,,,,61.4
101-150,51-100,Christian-Albrechts-University zu Kiel,Germany,,,,,,65
101-150,51-100,Colorado School of Mines,United States,,,,,,41.6
101-150,101-150,Duke University,United States,,,,,,46.8
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,,,,,,58.2
101-150,101-150,École Normale Supérieure de Lyon,France,,,,,,63.2
101-150,101-150,Freie Universitaet Berlin,Germany,,,,,,54.5
101-150,101-150,Goethe-University Frankfurt am Main,Germany,,,,,,55.5
101-150,101-150,Hokkaido University,Japan,,,,,,55.7
101-150,101-150,KU Leuven,Belgium,,,,,,68
101-150,101-150,Macquarie University,Australia,,,,,,67.4
101-150,101-150,Michigan State University,United States,,,,,,60
101-150,101-150,Nagoya University,Japan,,,,,,72.6
101-150,101-150,Northwestern University,United States,,,,,,56.8
101-150,51-100,Oregon State University,United States,,,,,,53.8
101-150,101-150,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,69.3
101-150,51-100,Seoul National University,South Korea,,,,,,56.3
101-150,101-150,Sun Yat-sen University,China (Mainland),,,,,,58.7
101-150,151-200,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,29
101-150,51-100,The Ohio State University,United States,,,,,,62.5
101-150,101-150,The University of Auckland,New Zealand,,,,,,48.7
101-150,101-150,Tohoku University,Japan,,,,,,66.2
101-150,151-200,Tokyo Institute of Technology (Tokyo Tech),Japan,,,,,,59
101-150,51-100,Universidade de São Paulo,Brazil,,,,,,63.7
101-150,51-100,Università di Padova,Italy,,,,,,64.9
101-150,101-150,University of Amsterdam,Netherlands,,,,,,58.9
101-150,101-150,University of Calgary,Canada,,,,,,54.5
101-150,101-150,University of Cape Town,South Africa,,,,,,74
101-150,101-150,University of East Anglia (UEA),United Kingdom,,,,,,51.2
101-150,101-150,University of Florida,United States,,,,,,53.7
101-150,101-150,University of Göttingen,Germany,,,,,,70.2
101-150,101-150,University of Helsinki,Finland,,,,,,62.8
101-150,151-200,University of Lausanne,Switzerland,,,,,,49.8
101-150,151-200,University of Leicester,United Kingdom,,,,,,65.1
101-150,151-200,University of Liverpool,United Kingdom,,,,,,52
101-150,101-150,University of Miami,United States,,,,,,58.5
101-150,101-150,University of Minnesota Twin Cities,United States,,,,,,62.3
101-150,101-150,University of Oklahoma,United States,,,,,,54.6
101-150,101-150,University of Science and Technology of China,China (Mainland),,,,,,62.1
101-150,101-150,University of Twente,Netherlands,,,,,,67
101-150,101-150,University of Zurich,Switzerland,,,,,,46.4
101-150,101-150,Uppsala University,Sweden,,,,,,67.3
101-150,101-150,Virginia Polytechnic Institute and State University,United States,,,,,,59.8
101-150,51-100,Vrije Universiteit Amsterdam,Netherlands,,,,,,46.5
101-150,151-200,Zhejiang University,China (Mainland),,,,,,49.1
151-200,,Aristotle University of Thessaloniki,Greece,,,,,,67.2
151-200,101-150,Brown University,United States,,,,,,44.6
151-200,,China University of Geosciences (Beijing),China (Mainland),,,,,,47.7
151-200,151-200,Complutense University of Madrid,Spain,,,,,,59.8
151-200,151-200,Dalhousie University,Canada,,,,,,40.2
151-200,151-200,Florida State University,United States,,,,,,52.1
151-200,201-230,Indian Institute of Technology Bombay (IITB),India,,,,,,48.8
151-200,,Iowa State University,United States,,,,,,55.4
151-200,151-200,King Abdulaziz University (KAU),Saudi Arabia,,,,,,62.2
151-200,151-200,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,,,,,,49.1
151-200,151-200,Lancaster University,United Kingdom,,,,,,54.7
